vertex id,originalDegree,degreeDelete,average,terminalClique
0,196,196,196,197
1,196,1,196,197
2,196,1,196,197
3,196,2,196,197
4,196,3,196,197
5,196,4,196,197
6,196,5,196,197
7,196,6,196,197
8,196,7,196,197
9,196,8,196,197
10,196,9,196,197
11,196,10,196,197
12,196,11,196,197
13,196,12,196,197
14,196,13,196,197
15,196,14,196,197
16,196,15,196,197
17,196,16,196,197
18,196,17,196,197
19,196,18,196,197
20,196,19,196,197
21,196,20,196,197
22,196,21,196,197
23,196,22,196,197
24,196,23,196,197
25,196,24,196,197
26,196,25,196,197
27,196,26,196,197
28,196,27,196,197
29,196,28,196,197
30,196,29,196,197
31,196,30,196,197
32,196,31,196,197
33,196,32,196,197
34,196,33,196,197
35,196,34,196,197
36,196,35,196,197
37,196,36,196,197
38,196,37,196,197
39,196,38,196,197
40,196,39,196,197
41,196,40,196,197
42,196,41,196,197
43,196,42,196,197
44,196,43,196,197
45,196,44,196,197
46,196,45,196,197
47,196,46,196,197
48,196,47,196,197
49,196,48,196,197
50,196,49,196,197
51,196,50,196,197
52,196,51,196,197
53,196,52,196,197
54,196,53,196,197
55,196,54,196,197
56,196,55,196,197
57,196,56,196,197
58,196,57,196,197
59,196,58,196,197
60,196,59,196,197
61,196,60,196,197
62,196,61,196,197
63,196,62,196,197
64,196,63,196,197
65,196,64,196,197
66,196,65,196,197
67,196,66,196,197
68,196,67,196,197
69,196,68,196,197
70,196,69,196,197
71,196,70,196,197
72,196,71,196,197
73,196,72,196,197
74,196,73,196,197
75,196,74,196,197
76,196,75,196,197
77,196,76,196,197
78,196,77,196,197
79,196,78,196,197
80,196,79,196,197
81,196,80,196,197
82,196,81,196,197
83,196,82,196,197
84,196,83,196,197
85,196,84,196,197
86,196,85,196,197
87,196,86,196,197
88,196,87,196,197
89,196,88,196,197
90,196,89,196,197
91,196,90,196,197
92,196,91,196,197
93,196,92,196,197
94,196,93,196,197
95,196,94,196,197
96,196,95,196,197
97,196,96,196,197
98,196,97,196,197
99,196,98,196,197
100,196,99,196,197
101,196,100,196,197
102,196,101,196,197
103,196,102,196,197
104,196,103,196,197
105,196,104,196,197
106,196,105,196,197
107,196,106,196,197
108,196,107,196,197
109,196,108,196,197
110,196,109,196,197
111,196,110,196,197
112,196,111,196,197
113,196,112,196,197
114,196,113,196,197
115,196,114,196,197
116,196,115,196,197
117,196,116,196,197
118,196,117,196,197
119,196,118,196,197
120,196,119,196,197
121,196,120,196,197
122,196,121,196,197
123,196,122,196,197
124,196,123,196,197
125,196,124,196,197
126,196,125,196,197
127,196,126,196,197
128,196,127,196,197
129,196,128,196,197
130,196,129,196,197
131,196,130,196,197
132,196,131,196,197
133,196,132,196,197
134,196,133,196,197
135,196,134,196,197
136,196,135,196,197
137,196,136,196,197
138,196,137,196,197
139,196,138,196,197
140,196,139,196,197
141,196,140,196,197
142,196,141,196,197
143,196,142,196,197
144,196,143,196,197
145,196,144,196,197
146,196,145,196,197
147,196,146,196,197
148,196,147,196,197
149,196,148,196,197
150,196,149,196,197
151,196,150,196,197
152,196,151,196,197
153,196,152,196,197
154,196,153,196,197
155,196,154,196,197
156,196,155,196,197
157,196,156,196,197
158,196,157,196,197
159,196,158,196,197
160,196,159,196,197
161,196,160,196,197
162,196,161,196,197
163,196,162,196,197
164,196,163,196,197
165,196,164,196,197
166,196,165,196,197
167,196,166,196,197
168,196,167,196,197
169,196,168,196,197
170,196,169,196,197
171,196,170,196,197
172,196,171,196,197
173,196,172,196,197
174,196,173,196,197
175,196,174,196,197
176,196,175,196,197
177,196,176,196,197
178,196,177,196,197
179,196,178,196,197
180,196,179,196,197
181,196,180,196,197
182,196,181,196,197
183,196,182,196,197
184,196,183,196,197
185,196,184,196,197
186,196,185,196,197
187,196,186,196,197
188,196,187,196,197
189,196,188,196,197
190,196,189,196,197
191,196,190,196,197
192,196,191,196,197
193,196,192,196,197
194,196,193,196,197
195,196,194,196,197
196,196,195,196,197

