vertex id,originalDegree,degreeDelete,average,terminalClique
0,2,2,2,167
1,2,1,2,167
2,2,2,2,167
3,2,1,2,167
4,2,2,2,167
5,2,1,2,167
6,2,2,2,167
7,2,1,2,167
8,2,2,2,167
9,2,1,2,167
10,2,2,2,167
11,2,1,2,167
12,2,2,2,167
13,2,1,2,167
14,2,2,2,167
15,2,1,2,167
16,2,2,2,167
17,2,1,2,167
18,2,2,2,167
19,2,1,2,167
20,2,2,2,167
21,2,1,2,167
22,2,2,2,167
23,2,1,2,167
24,2,2,2,167
25,2,1,2,167
26,2,2,2,167
27,2,1,2,167
28,2,2,2,167
29,2,1,2,167
30,2,2,2,167
31,2,1,2,167
32,2,2,2,167
33,2,1,2,167
34,2,2,2,167
35,2,1,2,167
36,2,2,2,167
37,2,1,2,167
38,2,2,2,167
39,2,1,2,167
40,2,2,2,167
41,2,1,2,167
42,2,2,2,167
43,2,1,2,167
44,2,2,2,167
45,2,1,2,167
46,2,2,2,167
47,2,1,2,167
48,2,2,2,167
49,2,1,2,167
50,2,2,2,167
51,2,1,2,167
52,2,2,2,167
53,2,1,2,167
54,2,2,2,167
55,2,1,2,167
56,2,2,2,167
57,2,1,2,167
58,2,2,2,167
59,2,1,2,167
60,2,2,2,167
61,2,1,2,167
62,2,2,2,167
63,2,1,2,167
64,2,2,2,167
65,2,1,2,167
66,2,2,2,167
67,2,1,2,167
68,2,2,2,167
69,2,1,2,167
70,2,2,2,167
71,2,1,2,167
72,2,2,2,167
73,2,1,2,167
74,2,2,2,167
75,2,1,2,167
76,2,2,2,167
77,2,1,2,167
78,2,2,2,167
79,2,1,2,167
80,2,2,2,167
81,2,1,2,167
82,2,2,2,167
83,2,1,2,167
84,2,2,2,167
85,2,1,2,167
86,2,2,2,167
87,2,1,2,167
88,2,2,2,167
89,2,1,2,167
90,2,2,2,167
91,2,1,2,167
92,2,2,2,167
93,2,1,2,167
94,2,2,2,167
95,2,1,2,167
96,2,2,2,167
97,2,1,2,167
98,2,2,2,167
99,2,1,2,167
100,2,2,2,167
101,2,1,2,167
102,2,2,2,167
103,2,1,2,167
104,2,2,2,167
105,2,1,2,167
106,2,2,2,167
107,2,1,2,167
108,2,2,2,167
109,2,1,2,167
110,2,2,2,167
111,2,1,2,167
112,2,1,2,167
113,2,1,2,167
114,2,1,2,167
115,2,1,2,167
116,2,1,2,167
117,2,1,2,167
118,2,1,2,167
119,2,1,2,167
120,2,1,2,167
121,2,1,2,167
122,2,1,2,167
123,2,1,2,167
124,2,1,2,167
125,2,1,2,167
126,2,1,2,167
127,2,1,2,167
128,2,1,2,167
129,2,1,2,167
130,2,1,2,167
131,2,1,2,167
132,2,1,2,167
133,2,1,2,167
134,2,1,2,167
135,2,1,2,167
136,2,1,2,167
137,2,1,2,167
138,2,1,2,167
139,2,1,2,167
140,2,1,2,167
141,2,1,2,167
142,2,1,2,167
143,2,1,2,167
144,2,1,2,167
145,2,1,2,167
146,2,1,2,167
147,2,1,2,167
148,2,1,2,167
149,2,1,2,167
150,2,1,2,167
151,2,1,2,167
152,2,1,2,167
153,2,1,2,167
154,2,1,2,167
155,2,1,2,167
156,2,1,2,167
157,2,1,2,167
158,2,1,2,167
159,2,1,2,167
160,2,1,2,167
161,2,1,2,167
162,2,1,2,167
163,2,1,2,167
164,2,1,2,167
165,2,1,2,167
166,2,1,2,167

