vertex id,originalDegree,degreeDelete,average,terminalClique
0,251,1,273,1
1,253,1,273,1
2,255,2,273,1
3,253,191,273,1
4,256,199,273,1
5,255,3,273,1
6,253,202,273,1
7,253,4,273,1
8,254,5,273,1
9,254,6,273,1
10,256,7,273,1
11,260,193,273,1
12,261,193,273,1
13,253,193,273,1
14,254,8,273,1
15,259,9,273,1
16,261,10,273,1
17,267,196,273,1
18,264,11,273,1
19,259,208,273,1
20,266,196,273,1
21,263,238,273,1
22,264,219,273,1
23,272,224,273,1
24,273,229,273,1
25,273,12,273,1
26,269,13,273,1
27,271,211,273,1
28,272,211,273,1
29,266,14,273,1
30,270,199,273,1
31,273,15,273,1
32,273,16,273,1
33,274,17,273,1
34,276,18,273,1
35,279,19,273,1
36,276,20,273,1
37,268,21,273,1
38,278,22,273,1
39,274,23,273,1
40,279,202,273,1
41,278,24,273,1
42,280,234,273,1
43,281,25,273,1
44,281,26,273,1
45,280,27,273,1
46,281,28,273,1
47,284,29,273,1
48,278,30,273,1
49,276,31,273,1
50,285,32,273,1
51,282,33,273,1
52,276,34,273,1
53,281,35,273,1
54,284,36,273,1
55,283,37,273,1
56,284,38,273,1
57,284,39,273,1
58,284,40,273,1
59,283,215,273,1
60,281,215,273,1
61,281,41,273,1
62,282,42,273,1
63,284,43,273,1
64,285,44,273,1
65,285,205,273,1
66,286,45,273,1
67,284,46,273,1
68,284,205,273,1
69,285,47,273,1
70,284,48,273,1
71,286,49,273,1
72,284,50,273,1
73,286,51,273,1
74,283,52,273,1
75,284,53,273,1
76,285,54,273,1
77,287,55,273,1
78,285,56,273,1
79,284,57,273,1
80,287,58,273,1
81,286,59,273,1
82,286,60,273,1
83,286,61,273,1
84,285,62,273,1
85,286,63,273,1
86,285,64,273,1
87,286,65,273,1
88,286,66,273,1
89,287,67,273,1
90,286,68,273,1
91,284,69,273,1
92,287,70,273,1
93,287,71,273,1
94,287,72,273,1
95,284,73,273,1
96,284,74,273,1
97,286,75,273,1
98,285,76,273,1
99,285,77,273,1
100,288,78,273,1
101,288,79,273,1
102,287,80,273,1
103,288,81,273,1
104,287,82,273,1
105,288,83,273,1
106,288,84,273,1
107,288,85,273,1
108,288,86,273,1
109,287,87,273,1
110,288,88,273,1
111,288,89,273,1
112,286,90,273,1
113,287,91,273,1
114,287,92,273,1
115,287,93,273,1
116,287,94,273,1
117,286,95,273,1
118,287,96,273,1
119,286,97,273,1
120,288,98,273,1
121,287,99,273,1
122,286,100,273,1
123,287,101,273,1
124,287,102,273,1
125,287,103,273,1
126,288,104,273,1
127,287,105,273,1
128,287,106,273,1
129,287,107,273,1
130,288,108,273,1
131,286,109,273,1
132,287,110,273,1
133,288,111,273,1
134,286,112,273,1
135,288,113,273,1
136,286,114,273,1
137,286,115,273,1
138,286,116,273,1
139,287,117,273,1
140,287,208,273,1
141,287,118,273,1
142,287,119,273,1
143,287,120,273,1
144,286,121,273,1
145,287,122,273,1
146,286,123,273,1
147,287,124,273,1
148,287,125,273,1
149,286,126,273,1
150,287,127,273,1
151,288,128,273,1
152,286,129,273,1
153,287,130,273,1
154,287,131,273,1
155,287,132,273,1
156,285,133,273,1
157,287,134,273,1
158,287,135,273,1
159,288,136,273,1
160,287,137,273,1
161,287,138,273,1
162,285,139,273,1
163,288,140,273,1
164,288,141,273,1
165,288,142,273,1
166,288,143,273,1
167,286,144,273,1
168,288,145,273,1
169,286,146,273,1
170,288,147,273,1
171,287,148,273,1
172,286,149,273,1
173,287,150,273,1
174,288,151,273,1
175,284,152,273,1
176,285,153,273,1
177,288,154,273,1
178,286,155,273,1
179,285,156,273,1
180,286,157,273,1
181,287,158,273,1
182,286,159,273,1
183,287,160,273,1
184,286,161,273,1
185,285,162,273,1
186,287,163,273,1
187,286,164,273,1
188,286,165,273,1
189,288,166,273,1
190,285,167,273,1
191,286,168,273,1
192,288,169,273,1
193,286,170,273,1
194,286,171,273,1
195,287,172,273,1
196,285,173,273,1
197,288,174,273,1
198,285,175,273,1
199,286,176,273,1
200,287,177,273,1
201,287,178,273,1
202,286,179,273,1
203,285,180,273,1
204,284,189,273,1
205,287,188,273,1
206,286,181,273,1
207,284,182,273,1
208,285,183,273,1
209,286,184,273,1
210,287,187,273,1
211,282,186,273,1
212,286,185,273,1
213,284,191,273,1
214,285,196,273,1
215,282,199,273,1
216,283,202,273,1
217,284,208,273,1
218,283,205,273,1
219,284,211,273,1
220,282,215,273,1
221,287,219,273,1
222,283,211,273,1
223,283,224,273,1
224,284,229,273,1
225,281,219,273,1
226,280,234,273,1
227,284,215,273,1
228,280,219,273,1
229,280,234,273,1
230,282,234,273,1
231,275,219,273,1
232,276,224,273,1
233,283,234,273,1
234,275,224,273,1
235,276,238,273,1
236,281,229,273,1
237,279,224,273,1
238,277,238,273,1
239,275,229,273,1
240,274,238,273,1
241,271,238,273,1
242,263,238,273,1
243,271,229,273,1
244,270,239,273,1
245,270,238,273,1
246,265,238,273,1
247,265,237,273,1
248,268,238,273,1
249,252,238,273,1
250,269,238,273,1
251,259,237,273,1
252,256,237,273,1
253,258,239,273,1
254,253,238,273,1
255,254,239,273,1
256,248,238,273,1
257,254,238,273,1
258,254,238,273,1
259,252,238,273,1
260,248,238,273,1
261,243,237,273,1
262,244,237,273,1
263,247,238,273,1
264,246,238,273,1
265,243,235,273,1
266,240,235,273,1
267,233,228,273,1
268,234,229,273,1
269,229,226,273,1
270,238,237,273,1
271,227,227,273,1
272,225,223,273,1
273,224,221,273,1
274,226,225,273,1
275,219,219,273,1
276,218,218,273,1
277,215,215,273,1
278,216,216,273,1
279,213,213,273,1
280,202,202,273,1
281,203,203,273,1
282,192,192,273,1
283,186,186,273,1
284,187,187,273,1
285,168,168,273,1
286,136,136,273,1
287,60,60,273,1
288,159,159,273,1

