vertex id,originalDegree,degreeDelete,average,terminalClique
0,277,1,263,1
1,277,2,263,1
2,274,3,263,1
3,266,4,263,1
4,267,5,263,1
5,274,6,263,1
6,278,7,263,1
7,268,8,263,1
8,264,162,263,1
9,280,1,263,1
10,291,13,263,1
11,279,9,263,1
12,272,10,263,1
13,277,11,263,1
14,281,12,263,1
15,282,14,263,1
16,282,37,263,1
17,277,15,263,1
18,274,16,263,1
19,275,17,263,1
20,273,18,263,1
21,272,19,263,1
22,273,20,263,1
23,276,21,263,1
24,274,22,263,1
25,273,23,263,1
26,274,24,263,1
27,278,25,263,1
28,290,26,263,1
29,284,27,263,1
30,278,28,263,1
31,272,29,263,1
32,268,30,263,1
33,271,31,263,1
34,272,32,263,1
35,272,39,263,1
36,270,39,263,1
37,277,33,263,1
38,285,34,263,1
39,278,37,263,1
40,279,41,263,1
41,274,41,263,1
42,282,89,263,1
43,272,36,263,1
44,276,43,263,1
45,283,45,263,1
46,273,47,263,1
47,276,43,263,1
48,281,50,263,1
49,277,72,263,1
50,274,47,263,1
51,274,47,263,1
52,270,96,263,1
53,276,50,263,1
54,270,53,263,1
55,269,45,263,1
56,308,56,263,1
57,279,81,263,1
58,283,59,263,1
59,274,59,263,1
60,284,50,263,1
61,278,76,263,1
62,289,62,263,1
63,273,104,263,1
64,274,53,263,1
65,286,68,263,1
66,281,72,263,1
67,267,53,263,1
68,268,59,263,1
69,274,56,263,1
70,282,65,263,1
71,280,36,263,1
72,283,65,263,1
73,277,56,263,1
74,282,62,263,1
75,279,62,263,1
76,282,68,263,1
77,271,113,263,1
78,275,76,263,1
79,277,104,263,1
80,282,68,263,1
81,276,72,263,1
82,280,68,263,1
83,280,89,263,1
84,274,89,263,1
85,267,81,263,1
86,269,96,263,1
87,269,82,263,1
88,273,65,263,1
89,284,72,263,1
90,279,76,263,1
91,279,104,263,1
92,278,81,263,1
93,274,76,263,1
94,271,81,263,1
95,268,89,263,1
96,270,122,263,1
97,270,76,263,1
98,271,81,263,1
99,271,89,263,1
100,275,81,263,1
101,277,82,263,1
102,278,113,263,1
103,269,89,263,1
104,273,96,263,1
105,282,104,263,1
