vertex id,originalDegree,degreeDelete,average,terminalClique
0,384,1,352,287
1,382,1,352,287
2,384,2,352,287
3,384,3,352,287
4,385,4,352,287
5,386,5,352,287
6,386,6,352,287
7,385,7,352,287
8,386,8,352,287
9,385,9,352,287
10,387,10,352,287
11,386,11,352,287
12,382,12,352,287
13,383,13,352,287
14,385,14,352,287
15,384,15,352,287
16,386,16,352,287
17,383,17,352,287
18,388,18,352,287
19,383,19,352,287
20,382,20,352,287
21,383,21,352,287
22,381,22,352,287
23,381,23,352,287
24,385,24,352,287
25,385,25,352,287
26,386,26,352,287
27,381,27,352,287
28,384,28,352,287
29,382,29,352,287
30,384,30,352,287
31,384,31,352,287
32,387,32,352,287
33,388,33,352,287
34,384,34,352,287
35,385,35,352,287
36,388,36,352,287
37,383,37,352,287
38,384,38,352,287
39,381,39,352,287
40,384,40,352,287
41,378,41,352,287
42,379,42,352,287
43,382,43,352,287
44,387,44,352,287
45,384,45,352,287
46,383,46,352,287
47,383,47,352,287
48,382,48,352,287
49,381,49,352,287
50,382,50,352,287
51,383,51,352,287
52,384,52,352,287
53,385,53,352,287
54,381,54,352,287
55,383,55,352,287
56,381,56,352,287
57,380,57,352,287
58,385,58,352,287
59,384,59,352,287
60,384,60,352,287
61,384,61,352,287
62,389,62,352,287
63,389,63,352,287
64,382,64,352,287
65,383,65,352,287
66,381,66,352,287
67,381,67,352,287
68,381,68,352,287
69,383,69,352,287
70,383,70,352,287
71,381,71,352,287
72,379,72,352,287
73,382,73,352,287
74,382,74,352,287
75,383,75,352,287
76,383,76,352,287
77,386,77,352,287
78,385,78,352,287
79,384,79,352,287
80,385,80,352,287
81,382,81,352,287
82,385,82,352,287
83,384,83,352,287
84,383,84,352,287
85,383,85,352,287
86,380,86,352,287
87,380,87,352,287
88,382,88,352,287
89,382,89,352,287
90,376,90,352,287
91,378,91,352,287
92,379,92,352,287
93,382,93,352,287
94,378,94,352,287
95,380,95,352,287
96,382,96,352,287
97,383,97,352,287
98,376,98,352,287
99,380,99,352,287
100,382,100,352,287
101,377,101,352,287
102,385,102,352,287
103,378,103,352,287
104,384,104,352,287
105,385,105,352,287
106,383,106,352,287
107,376,107,352,287
108,376,108,352,287
109,381,109,352,287
110,383,110,352,287
111,384,111,352,287
112,381,112,352,287
113,384,113,352,287
114,384,114,352,287
115,382,115,352,287
116,382,116,352,287
117,380,117,352,287
118,382,118,352,287
119,380,119,352,287
120,382,120,352,287
121,380,121,352,287
122,377,122,352,287
123,383,123,352,287
124,380,124,352,287
125,379,125,352,287
126,375,126,352,287
127,381,127,352,287
128,377,128,352,287
129,379,129,352,287
130,383,130,352,287
131,385,131,352,287
132,381,132,352,287
133,379,133,352,287
134,380,134,352,287
135,379,135,352,287
136,381,136,352,287
137,381,137,352,287
138,380,138,352,287
139,380,139,352,287
140,382,140,352,287
141,381,141,352,287
142,380,142,352,287
143,381,143,352,287
144,379,144,352,287
145,380,145,352,287
146,375,146,352,287
147,374,147,352,287
148,379,148,352,287
149,377,149,352,287
150,375,150,352,287
151,380,151,352,287
152,381,152,352,287
153,376,153,352,287
154,378,154,352,287
155,380,155,352,287
156,375,156,352,287
157,378,157,352,287
158,376,158,352,287
159,376,159,352,287
160,373,160,352,287
161,374,161,352,287
162,378,162,352,287
163,379,163,352,287
164,376,164,352,287
165,377,165,352,287
166,384,166,352,287
167,379,167,352,287
168,379,168,352,287
169,378,169,352,287
170,378,170,352,287
171,374,171,352,287
172,373,172,352,287
173,380,173,352,287
174,383,174,352,287
175,379,175,352,287
176,377,176,352,287
177,378,177,352,287
178,372,178,352,287
179,375,179,352,287
180,374,180,352,287
181,377,181,352,287
182,376,182,352,287
183,376,183,352,287
184,374,184,352,287
185,379,185,352,287
186,379,186,352,287
187,382,187,352,287
188,379,188,352,287
189,378,189,352,287
190,375,190,352,287
191,380,191,352,287
