vertex id,originalDegree,degreeDelete,average,terminalClique
0,338,338,338,339
1,338,1,338,339
2,338,1,338,339
3,338,2,338,339
4,338,3,338,339
5,338,4,338,339
6,338,5,338,339
7,338,6,338,339
8,338,7,338,339
9,338,8,338,339
10,338,9,338,339
11,338,10,338,339
12,338,11,338,339
13,338,12,338,339
14,338,13,338,339
15,338,14,338,339
16,338,15,338,339
17,338,16,338,339
18,338,17,338,339
19,338,18,338,339
20,338,19,338,339
21,338,20,338,339
22,338,21,338,339
23,338,22,338,339
24,338,23,338,339
25,338,24,338,339
26,338,25,338,339
27,338,26,338,339
28,338,27,338,339
29,338,28,338,339
30,338,29,338,339
31,338,30,338,339
32,338,31,338,339
33,338,32,338,339
34,338,33,338,339
35,338,34,338,339
36,338,35,338,339
37,338,36,338,339
38,338,37,338,339
39,338,38,338,339
40,338,39,338,339
41,338,40,338,339
42,338,41,338,339
43,338,42,338,339
44,338,43,338,339
45,338,44,338,339
46,338,45,338,339
47,338,46,338,339
48,338,47,338,339
49,338,48,338,339
50,338,49,338,339
51,338,50,338,339
52,338,51,338,339
53,338,52,338,339
54,338,53,338,339
55,338,54,338,339
56,338,55,338,339
57,338,56,338,339
58,338,57,338,339
59,338,58,338,339
60,338,59,338,339
61,338,60,338,339
62,338,61,338,339
63,338,62,338,339
64,338,63,338,339
65,338,64,338,339
66,338,65,338,339
67,338,66,338,339
68,338,67,338,339
69,338,68,338,339
70,338,69,338,339
71,338,70,338,339
72,338,71,338,339
73,338,72,338,339
74,338,73,338,339
75,338,74,338,339
76,338,75,338,339
77,338,76,338,339
78,338,77,338,339
79,338,78,338,339
80,338,79,338,339
81,338,80,338,339
82,338,81,338,339
83,338,82,338,339
84,338,83,338,339
85,338,84,338,339
86,338,85,338,339
87,338,86,338,339
88,338,87,338,339
89,338,88,338,339
90,338,89,338,339
91,338,90,338,339
92,338,91,338,339
93,338,92,338,339
94,338,93,338,339
95,338,94,338,339
96,338,95,338,339
97,338,96,338,339
98,338,97,338,339
99,338,98,338,339
100,338,99,338,339
101,338,100,338,339
102,338,101,338,339
103,338,102,338,339
104,338,103,338,339
105,338,104,338,339
106,338,105,338,339
107,338,106,338,339
108,338,107,338,339
109,338,108,338,339
110,338,109,338,339
111,338,110,338,339
112,338,111,338,339
113,338,112,338,339
114,338,113,338,339
115,338,114,338,339
116,338,115,338,339
