vertex id,originalDegree,degreeDelete,average,terminalClique
0,2,2,2,217
1,2,1,2,217
2,2,2,2,217
3,2,1,2,217
4,2,2,2,217
5,2,1,2,217
6,2,2,2,217
7,2,1,2,217
8,2,2,2,217
9,2,1,2,217
10,2,2,2,217
11,2,1,2,217
12,2,2,2,217
13,2,1,2,217
14,2,2,2,217
15,2,1,2,217
16,2,2,2,217
17,2,1,2,217
18,2,2,2,217
19,2,1,2,217
20,2,2,2,217
21,2,1,2,217
22,2,2,2,217
23,2,1,2,217
24,2,2,2,217
25,2,1,2,217
26,2,2,2,217
27,2,1,2,217
28,2,2,2,217
29,2,1,2,217
30,2,2,2,217
31,2,1,2,217
32,2,2,2,217
33,2,1,2,217
34,2,2,2,217
35,2,1,2,217
36,2,2,2,217
37,2,1,2,217
38,2,2,2,217
39,2,1,2,217
40,2,2,2,217
41,2,1,2,217
42,2,2,2,217
43,2,1,2,217
44,2,2,2,217
45,2,1,2,217
46,2,2,2,217
47,2,1,2,217
48,2,2,2,217
49,2,1,2,217
50,2,2,2,217
51,2,1,2,217
52,2,2,2,217
53,2,1,2,217
54,2,2,2,217
55,2,1,2,217
56,2,2,2,217
57,2,1,2,217
58,2,2,2,217
59,2,1,2,217
60,2,2,2,217
61,2,1,2,217
62,2,2,2,217
63,2,1,2,217
64,2,2,2,217
65,2,1,2,217
66,2,2,2,217
67,2,1,2,217
68,2,2,2,217
69,2,1,2,217
70,2,2,2,217
71,2,1,2,217
72,2,2,2,217
73,2,1,2,217
74,2,2,2,217
75,2,1,2,217
76,2,2,2,217
77,2,1,2,217
78,2,2,2,217
79,2,1,2,217
80,2,2,2,217
81,2,1,2,217
82,2,2,2,217
83,2,1,2,217
84,2,2,2,217
85,2,1,2,217
86,2,2,2,217
87,2,1,2,217
88,2,2,2,217
89,2,1,2,217
90,2,2,2,217
91,2,1,2,217
92,2,2,2,217
93,2,1,2,217
94,2,2,2,217
95,2,1,2,217
96,2,2,2,217
97,2,1,2,217
98,2,2,2,217
99,2,1,2,217
100,2,2,2,217
101,2,1,2,217
102,2,2,2,217
103,2,1,2,217
104,2,2,2,217
105,2,1,2,217
106,2,2,2,217
107,2,1,2,217
108,2,2,2,217
109,2,1,2,217
110,2,2,2,217
111,2,1,2,217
112,2,2,2,217
113,2,1,2,217
114,2,2,2,217
115,2,1,2,217
116,2,2,2,217
117,2,1,2,217
118,2,2,2,217
119,2,1,2,217
120,2,2,2,217
121,2,1,2,217
122,2,2,2,217
123,2,1,2,217
124,2,2,2,217
125,2,1,2,217
126,2,2,2,217
127,2,1,2,217
128,2,2,2,217
129,2,1,2,217
130,2,2,2,217
131,2,1,2,217
132,2,2,2,217
133,2,1,2,217
134,2,2,2,217
135,2,1,2,217
136,2,2,2,217
137,2,1,2,217
138,2,2,2,217
139,2,1,2,217
140,2,2,2,217
141,2,1,2,217
142,2,2,2,217
143,2,1,2,217
144,2,1,2,217
145,2,1,2,217
146,2,1,2,217
147,2,1,2,217
148,2,1,2,217
149,2,1,2,217
150,2,1,2,217
151,2,1,2,217
152,2,1,2,217
153,2,1,2,217
154,2,1,2,217
155,2,1,2,217
156,2,1,2,217
157,2,1,2,217
158,2,1,2,217
159,2,1,2,217
160,2,1,2,217
161,2,1,2,217
162,2,1,2,217
163,2,1,2,217
164,2,1,2,217
165,2,1,2,217
166,2,1,2,217
167,2,1,2,217
168,2,1,2,217
169,2,1,2,217
170,2,1,2,217
171,2,1,2,217
172,2,1,2,217
173,2,1,2,217
174,2,1,2,217
175,2,1,2,217
176,2,1,2,217
177,2,1,2,217
178,2,1,2,217
179,2,1,2,217
180,2,1,2,217
181,2,1,2,217
182,2,1,2,217
183,2,1,2,217
184,2,1,2,217
185,2,1,2,217
186,2,1,2,217
187,2,1,2,217
188,2,1,2,217
189,2,1,2,217
190,2,1,2,217
191,2,1,2,217
192,2,1,2,217
193,2,1,2,217
194,2,1,2,217
195,2,1,2,217
196,2,1,2,217
197,2,1,2,217
198,2,1,2,217
199,2,1,2,217
200,2,1,2,217
201,2,1,2,217
202,2,1,2,217
203,2,1,2,217
204,2,1,2,217
205,2,1,2,217
206,2,1,2,217
207,2,1,2,217
208,2,1,2,217
209,2,1,2,217
210,2,1,2,217
211,2,1,2,217
212,2,1,2,217
213,2,1,2,217
214,2,1,2,217
215,2,1,2,217
216,2,1,2,217

