vertex id,originalDegree,degreeDelete,average,terminalClique
0,85,6,92,1
1,89,76,92,1
2,87,1,92,1
3,85,2,92,1
4,84,52,92,1
5,89,54,92,1
6,88,56,92,1
7,89,58,92,1
8,88,3,92,1
9,93,58,92,1
10,97,61,92,1
11,96,1,92,1
12,93,6,92,1
13,92,61,92,1
14,90,4,92,1
15,95,7,92,1
16,96,8,92,1
17,96,67,92,1
18,99,9,92,1
19,96,10,92,1
20,99,73,92,1
21,99,11,92,1
22,99,64,92,1
23,99,64,92,1
24,97,12,92,1
25,99,13,92,1
26,99,67,92,1
27,97,70,92,1
28,94,70,92,1
29,100,14,92,1
30,99,15,92,1
31,97,73,92,1
32,99,16,92,1
33,102,17,92,1
34,99,18,92,1
35,101,19,92,1
36,99,20,92,1
37,99,21,92,1
38,100,22,92,1
39,101,23,92,1
40,99,24,92,1
41,102,25,92,1
42,100,26,92,1
43,99,27,92,1
44,101,28,92,1
45,101,29,92,1
46,101,30,92,1
47,101,31,92,1
48,102,32,92,1
49,102,33,92,1
50,100,34,92,1
51,101,35,92,1
52,102,36,92,1
53,101,37,92,1
54,101,38,92,1
55,101,39,92,1
56,100,40,92,1
57,99,41,92,1
58,100,42,92,1
59,102,77,92,1
60,101,43,92,1
61,100,44,92,1
62,101,45,92,1
63,101,46,92,1
64,101,47,92,1
65,101,48,92,1
66,101,52,92,1
67,99,49,92,1
68,101,56,92,1
69,101,70,92,1
70,100,61,92,1
71,101,50,92,1
72,101,64,92,1
73,99,54,92,1
74,99,67,92,1
75,98,58,92,1
76,94,73,92,1
77,96,77,92,1
78,93,73,92,1
79,94,77,92,1
80,92,77,92,1
81,85,77,92,1
82,88,77,92,1
83,91,77,92,1
84,87,77,92,1
85,87,77,92,1
86,86,78,92,1
87,84,78,92,1
88,85,78,92,1
89,81,77,92,1
90,83,78,92,1
91,77,75,92,1
92,77,75,92,1
93,75,75,92,1
94,73,73,92,1
95,74,73,92,1
96,72,72,92,1
97,60,60,92,1
98,59,59,92,1
99,58,58,92,1
100,48,48,92,1
101,23,23,92,1
102,58,58,92,1

