vertex id,originalDegree,degreeDelete,average,terminalClique
0,307,1,287,1
1,303,1,287,1
2,298,2,287,1
3,287,3,287,1
4,293,4,287,1
5,306,5,287,1
6,306,35,287,1
7,298,37,287,1
8,287,100,287,1
9,316,37,287,1
10,312,8,287,1
11,310,6,287,1
12,302,7,287,1
13,305,9,287,1
14,307,46,287,1
15,314,14,287,1
16,305,13,287,1
17,295,10,287,1
18,300,37,287,1
19,304,12,287,1
20,294,11,287,1
21,300,15,287,1
22,296,16,287,1
23,300,17,287,1
24,301,18,287,1
25,296,19,287,1
26,300,20,287,1
27,303,21,287,1
28,318,22,287,1
29,307,23,287,1
30,303,24,287,1
31,309,25,287,1
32,298,26,287,1
33,298,27,287,1
34,298,28,287,1
35,301,39,287,1
36,300,39,287,1
37,303,29,287,1
38,306,30,287,1
39,300,33,287,1
40,314,41,287,1
41,311,41,287,1
42,313,31,287,1
43,301,35,287,1
44,301,93,287,1
45,313,32,287,1
46,299,48,287,1
47,307,43,287,1
48,305,51,287,1
49,300,46,287,1
50,302,48,287,1
51,305,100,287,1
52,297,86,287,1
53,303,48,287,1
54,293,80,287,1
55,294,43,287,1
56,343,67,287,1
57,306,64,287,1
58,313,46,287,1
59,301,51,287,1
60,316,51,287,1
61,302,54,287,1
62,318,76,287,1
63,307,57,287,1
64,300,60,287,1
65,310,67,287,1
66,306,71,287,1
67,291,54,287,1
68,294,54,287,1
69,302,57,287,1
70,303,64,287,1
71,302,76,287,1
72,314,64,287,1
73,303,60,287,1
74,301,60,287,1
75,308,57,287,1
76,312,67,287,1
77,300,125,287,1
78,296,64,287,1
79,310,80,287,1
80,306,76,287,1
81,309,71,287,1
82,307,71,287,1
83,306,93,287,1
84,302,67,287,1
85,295,80,287,1
86,298,76,287,1
87,292,86,287,1
88,301,125,287,1
89,316,93,287,1
90,307,86,287,1
91,308,86,287,1
92,302,80,287,1
93,302,76,287,1
94,304,80,287,1
95,303,71,287,1
96,307,112,287,1
97,298,100,287,1
98,300,86,287,1
99,295,80,287,1
100,306,100,287,1
101,312,141,287,1
102,307,100,287,1
103,302,93,287,1
104,294,100,287,1
105,315,93,287,1
106,308,141,287,1
107,297,93,287,1
108,304,112,287,1
109,297,112,287,1
110,289,129,287,1
111,307,112,287,1
112,299,112,287,1
113,302,86,287,1
114,296,100,287,1
115,293,86,287,1
116,294,129,287,1
117,299,141,287,1
118,309,125,287,1
119,306,112,287,1
120,301,125,287,1
121,295,141,287,1
122,293,93,287,1
123,305,100,287,1
124,308,125,287,1
125,290,112,287,1
126,300,102,287,1
127,297,125,287,1
128,292,151,287,1
129,299,129,287,1
130,300,102,287,1
131,300,114,287,1
132,295,152,287,1
133,298,112,287,1
134,297,100,287,1
135,290,162,287,1
136,294,151,287,1
137,297,147,287,1
138,300,112,287,1
139,301,100,287,1
