vertex id,originalDegree,degreeDelete,average,terminalClique
0,134,1,116,1
1,134,1,116,1
2,133,2,116,1
3,135,3,116,1
4,132,4,116,1
5,134,5,116,1
6,132,6,116,1
7,132,7,116,1
8,132,8,116,1
9,133,9,116,1
10,135,10,116,1
11,135,11,116,1
12,132,12,116,1
13,133,13,116,1
14,131,14,116,1
15,136,15,116,1
16,132,16,116,1
17,136,17,116,1
18,133,18,116,1
19,132,19,116,1
20,130,20,116,1
21,129,21,116,1
22,130,22,116,1
23,134,23,116,1
24,134,24,116,1
25,134,25,116,1
26,132,26,116,1
27,130,27,116,1
28,131,28,116,1
29,131,29,116,1
30,131,30,116,1
31,132,31,116,1
32,129,32,116,1
33,129,33,116,1
34,129,34,116,1
35,130,35,116,1
36,132,36,116,1
37,131,37,116,1
38,132,38,116,1
39,133,39,116,1
40,131,40,116,1
41,132,41,116,1
42,129,42,116,1
43,130,43,116,1
44,133,44,116,1
45,131,45,116,1
46,129,46,116,1
47,126,47,116,1
48,125,48,116,1
49,131,49,116,1
50,130,50,116,1
51,127,51,116,1
52,130,52,116,1
53,130,53,116,1
54,131,54,116,1
55,130,55,116,1
56,127,56,116,1
57,131,57,116,1
58,132,58,116,1
59,130,59,116,1
60,127,60,116,1
61,127,61,116,1
62,126,62,116,1
63,127,63,116,1
64,127,64,116,1
65,127,65,116,1
66,124,66,116,1
67,129,67,116,1
68,131,68,116,1
69,128,69,116,1
70,127,70,116,1
71,128,71,116,1
72,126,72,116,1
73,127,73,116,1
74,129,74,116,1
75,131,75,116,1
76,128,76,116,1
77,124,77,116,1
78,123,78,116,1
79,126,79,116,1
80,123,80,116,1
81,126,81,116,1
82,125,82,116,1
83,127,83,116,1
84,126,84,116,1
85,130,85,116,1
86,131,86,116,1
87,127,87,116,1
88,124,102,116,1
89,123,90,116,1
90,123,102,116,1
91,122,89,116,1
92,120,88,116,1
93,124,91,116,1
94,124,92,116,1
95,124,93,116,1
96,120,96,116,1
97,120,101,116,1
98,118,94,116,1
99,122,95,116,1
100,118,100,116,1
101,118,99,116,1
102,123,96,116,1
103,122,99,116,1
104,121,96,116,1
105,121,99,116,1
106,119,102,116,1
107,116,101,116,1
108,114,101,116,1
109,112,102,116,1
110,112,102,116,1
111,110,101,116,1
112,114,102,116,1
113,112,101,116,1
114,111,99,116,1
115,104,98,116,1
116,107,99,116,1
117,102,97,116,1
118,100,97,116,1
119,100,95,116,1
120,102,96,116,1
121,104,98,116,1
122,95,92,116,1
123,93,90,116,1
124,96,94,116,1
125,92,90,116,1
126,91,89,116,1
127,84,83,116,1
128,79,79,116,1
129,66,65,116,1
130,75,75,116,1
131,62,62,116,1
132,52,52,116,1
133,47,47,116,1
134,34,34,116,1
135,27,27,116,1
136,24,24,116,1
137,12,12,116,1
138,6,6,116,1
139,4,4,116,1
140,3,3,116,1
141,79,78,116,1

