vertex id,originalDegree,color,orderColored
0,488,488,491
1,488,0,0
2,488,0,0
3,488,2,977
4,488,3,976
5,488,4,975
6,488,5,974
7,488,6,973
8,488,7,972
9,488,8,971
10,488,9,970
11,488,10,969
12,488,11,968
13,488,12,967
14,488,13,966
15,488,14,965
16,488,15,964
17,488,16,963
18,488,17,962
19,488,18,961
20,488,19,960
21,488,20,959
22,488,21,958
23,488,22,957
24,488,23,956
25,488,24,955
26,488,25,954
27,488,26,953
28,488,27,952
29,488,28,951
30,488,29,950
31,488,30,949
32,488,31,948
33,488,32,947
34,488,33,946
35,488,34,945
36,488,35,944
37,488,36,943
38,488,37,942
39,488,38,941
40,488,39,940
41,488,40,939
42,488,41,938
43,488,42,937
44,488,43,936
45,488,44,935
46,488,45,934
47,488,46,933
48,488,47,932
49,488,48,931
50,488,49,930
51,488,50,929
52,488,51,928
53,488,52,927
54,488,53,926
55,488,54,925
56,488,55,924
57,488,56,923
58,488,57,922
59,488,58,921
60,488,59,920
61,488,60,919
62,488,61,918
63,488,62,917
64,488,63,916
65,488,64,915
66,488,65,914
67,488,66,913
68,488,67,912
69,488,68,911
70,488,69,910
71,488,70,909
72,488,71,908
73,488,72,907
74,488,73,906
75,488,74,905
76,488,75,904
77,488,76,903
78,488,77,902
79,488,78,901
80,488,79,900
81,488,80,899
82,488,81,898
83,488,82,897
84,488,83,896
85,488,84,895
86,488,85,894
87,488,86,893
88,488,87,892
89,488,88,891
90,488,89,890
91,488,90,889
92,488,91,888
93,488,92,887
94,488,93,886
95,488,94,885
96,488,95,884
97,488,96,883
98,488,97,882
99,488,98,881
100,488,99,880
101,488,100,879
102,488,101,878
103,488,102,877
104,488,103,876
105,488,104,875
106,488,105,874
107,488,106,873
108,488,107,872
109,488,108,871
110,488,109,870
111,488,110,869
112,488,111,868
113,488,112,867
114,488,113,866
115,488,114,865
116,488,115,864
117,488,116,863
118,488,117,862
119,488,118,861
120,488,119,860
121,488,120,859
122,488,121,858
123,488,122,857
124,488,123,856
125,488,124,855
126,488,125,854
127,488,126,853
128,488,127,852
129,488,128,851
130,488,129,850
131,488,130,849
132,488,131,848
133,488,132,847
134,488,133,846
135,488,134,845
136,488,135,844
137,488,136,843
138,488,137,842
139,488,138,841
140,488,139,840
141,488,140,839
142,488,141,838
143,488,142,837
144,488,143,836
145,488,144,835
146,488,145,834
147,488,146,833
148,488,147,832
149,488,148,831
150,488,149,830
151,488,150,829
152,488,151,828
153,488,152,827
154,488,153,826
155,488,154,825
156,488,155,824
157,488,156,823
158,488,157,822
159,488,158,821
160,488,159,820
161,488,160,819
162,488,161,818
163,488,162,817
164,488,163,816
165,488,164,815
166,488,165,814
167,488,166,813
168,488,167,812
169,488,168,811
170,488,169,810
171,488,170,809
172,488,171,808
173,488,172,807
174,488,173,806
175,488,174,805
176,488,175,804
177,488,176,803
178,488,177,802
179,488,178,801
180,488,179,800
181,488,180,799
182,488,181,798
183,488,182,797
184,488,183,796
185,488,184,795
186,488,185,794
187,488,186,793
188,488,187,792
189,488,188,791
190,488,189,790
191,488,190,789
192,488,191,788
