vertex id,originalDegree,color,orderColored
0,2,2,107
1,2,0,0
2,2,2,108
3,2,0,0
4,2,2,109
5,2,0,0
6,2,2,110
7,2,0,0
8,2,2,111
9,2,0,0
10,2,2,112
11,2,0,0
12,2,2,113
13,2,0,0
14,2,2,114
15,2,0,0
16,2,2,115
17,2,0,0
18,2,2,116
19,2,0,0
20,2,2,117
21,2,0,0
22,2,2,118
23,2,0,0
24,2,2,119
25,2,0,0
26,2,2,120
27,2,0,0
28,2,2,121
29,2,0,0
30,2,2,122
31,2,0,0
32,2,2,123
33,2,0,0
34,2,2,124
35,2,0,0
36,2,2,125
37,2,0,0
38,2,2,126
39,2,0,0
40,2,2,127
41,2,0,0
42,2,2,128
43,2,0,0
44,2,2,129
45,2,0,0
46,2,2,130
47,2,0,0
48,2,2,131
49,2,0,0
50,2,2,132
51,2,0,0
52,2,2,133
53,2,0,0
54,2,2,134
55,2,0,0
56,2,2,135
57,2,0,0
58,2,2,136
59,2,0,0
60,2,2,137
61,2,0,0
62,2,2,138
63,2,0,0
64,2,2,139
65,2,0,0
66,2,2,140
67,2,0,0
68,2,2,141
69,2,0,0
70,2,2,142
71,2,0,0
72,2,2,143
73,2,0,0
74,2,2,144
75,2,0,0
76,2,2,145
77,2,0,0
78,2,2,146
79,2,0,0
80,2,2,147
81,2,0,0
82,2,2,148
83,2,0,0
84,2,2,149
85,2,0,0
86,2,2,150
87,2,0,0
88,2,2,151
89,2,0,0
90,2,2,152
91,2,0,0
92,2,2,153
93,2,0,0
94,2,2,154
95,2,0,0
96,2,2,155
97,2,0,0
98,2,2,156
99,2,0,0
100,2,2,157
101,2,0,0
102,2,2,158
103,2,1,159
104,2,1,160
105,2,1,161
106,2,1,162
107,2,1,163
108,2,1,164
109,2,1,165
110,2,1,166
111,2,1,167
112,2,1,168
113,2,1,169
114,2,1,170
115,2,1,171
116,2,1,172
117,2,1,173
118,2,1,174
119,2,1,175
120,2,1,176
121,2,1,177
122,2,1,178
123,2,1,179
124,2,1,180
125,2,1,181
126,2,1,182
127,2,1,183
128,2,1,184
129,2,1,185
130,2,1,186
131,2,1,187
132,2,1,188
133,2,1,189
134,2,1,190
135,2,1,191
136,2,1,192
137,2,1,193
138,2,1,194
139,2,1,195
140,2,1,196
141,2,1,197
142,2,1,198
143,2,1,199
144,2,1,200
145,2,1,201
146,2,1,202
147,2,1,203
148,2,1,204
149,2,1,205
150,2,1,206
151,2,1,207
152,2,1,208
153,2,1,209
154,2,0,0
155,2,0,0

