vertex id,originalDegree,color,orderColored
0,403,389,519
1,401,22,886
2,403,0,0
3,403,2,905
4,403,382,525
5,406,3,904
6,403,328,580
7,410,5,902
8,408,4,903
9,415,6,901
10,409,7,900
11,408,347,561
12,408,8,899
13,406,9,898
14,409,330,577
15,410,10,897
16,412,11,896
17,417,333,576
18,414,12,895
19,415,13,894
20,415,332,574
21,412,14,893
22,413,356,552
23,417,15,892
24,416,16,891
25,415,20,887
26,418,17,890
27,421,0,0
28,425,337,572
29,427,19,888
30,417,18,889
31,416,334,573
32,424,22,885
33,433,23,884
34,417,24,883
35,419,25,882
36,427,26,881
37,431,27,880
38,425,28,879
39,429,29,878
40,438,361,553
41,434,30,877
42,435,371,544
43,433,358,549
44,428,31,876
45,430,32,875
46,436,33,874
47,437,377,540
48,436,34,873
49,434,35,872
50,437,36,871
51,428,37,870
52,432,38,869
53,435,390,533
54,443,347,570
55,436,39,868
56,444,40,867
57,439,41,866
58,444,42,865
59,439,368,548
60,445,372,545
61,444,43,864
62,439,44,863
63,444,45,862
64,441,46,861
65,442,346,569
66,445,47,860
67,445,48,859
68,448,348,567
69,438,49,858
70,441,50,857
71,439,51,856
72,442,52,855
73,445,53,854
74,443,54,853
75,443,55,852
76,443,56,851
77,445,57,850
78,446,58,849
79,443,59,848
80,444,60,847
81,443,61,846
82,446,400,529
83,447,62,845
84,447,63,844
85,445,64,843
86,448,65,842
87,446,66,841
88,445,348,566
89,443,348,564
90,444,67,840
91,448,68,839
92,448,69,838
93,450,70,837
94,450,71,836
95,450,72,835
96,447,73,834
97,450,74,833
98,448,75,832
99,447,76,831
100,447,77,830
101,450,78,829
102,449,79,828
103,447,80,827
104,448,81,826
105,450,82,825
106,447,83,824
107,447,84,823
108,450,85,822
109,448,86,821
110,446,87,820
111,449,88,819
112,449,89,818
113,451,90,817
114,450,91,816
115,445,92,815
116,450,93,814
117,450,94,813
118,448,95,812
119,450,96,811
120,446,97,810
121,451,98,809
122,450,99,808
123,449,100,807
124,450,102,806
125,449,102,805
126,452,104,804
127,449,104,803
128,448,105,802
129,451,106,801
130,449,107,800
131,450,108,799
132,450,109,798
133,447,110,797
134,448,111,796
135,451,112,795
136,451,113,794
137,451,115,793
138,449,355,562
139,451,116,792
140,449,117,791
141,449,117,790
142,450,118,789
143,450,120,788
144,451,120,787
145,450,121,786
146,451,122,785
147,448,123,784
148,452,125,783
149,448,126,782
150,450,126,781
151,452,128,780
152,451,128,779
153,446,129,778
154,451,130,777
155,451,131,776
156,450,132,775
157,451,134,774
158,451,134,773
159,452,136,772
160,449,136,771
161,452,138,770
162,451,139,769
163,450,139,768
164,451,140,767
165,449,141,766
166,450,142,765
167,450,359,559
168,449,143,764
169,452,145,763
170,451,145,762
171,452,147,761
172,452,148,760
173,451,149,759
174,452,150,758
175,449,150,757
176,450,151,756
177,451,153,755
178,451,153,754
179,452,155,753
180,449,155,752
181,451,156,751
182,450,157,750
183,450,159,749
184,450,159,748
185,450,160,747
186,451,162,746
187,451,162,745
188,450,164,744
189,451,164,743
190,452,166,742
191,452,167,741
192,451,167,740
193,451,169,739
194,451,170,738
195,451,170,737
196,451,171,736
197,451,173,735
198,451,174,734
199,452,175,733
200,451,175,732
201,450,177,731
202,449,177,730
203,452,179,729
204,446,179,728
205,451,181,727
206,452,182,726
207,452,183,725
208,452,184,724
209,452,185,723
210,452,186,722
211,451,187,721
212,449,187,720
213,451,188,719
214,450,189,718
215,451,190,717
216,451,192,716
217,450,192,715
218,451,193,714
219,451,194,713
220,452,196,712
221,452,197,711
222,450,197,710
223,451,200,709
224,452,201,708
225,452,202,707
226,452,203,706
227,449,202,705
228,450,203,704
229,451,205,703
230,451,206,702
231,451,207,701
