vertex id,originalDegree,color,orderColored
0,80,0,91
1,77,42,90
2,75,41,89
3,73,17,88
4,79,29,67
5,81,40,87
6,84,39,86
7,79,15,85
8,74,10,47
9,83,38,84
10,82,37,83
11,83,34,82
12,81,36,81
13,79,20,80
14,83,34,77
15,79,30,75
16,81,35,79
17,78,33,76
18,80,29,73
19,78,26,74
20,74,8,48
21,77,31,71
22,75,23,78
23,78,30,68
24,79,32,72
25,80,1,64
26,80,28,66
27,79,27,65
28,76,25,62
29,74,24,61
30,75,26,63
31,81,24,70
32,78,19,55
33,82,23,60
34,81,22,58
35,77,21,59
36,78,10,57
37,76,13,41
38,74,3,51
39,77,19,50
40,76,9,25
41,79,18,56
42,75,27,69
43,70,12,20
44,79,21,53
45,77,10,38
46,74,2,43
47,74,11,54
48,75,16,32
49,72,6,37
50,72,17,42
51,77,15,29
52,79,20,52
53,72,12,36
54,73,16,40
55,75,18,45
56,80,17,46
57,77,4,39
58,78,7,49
59,74,14,27
60,70,12,44
61,76,12,26
62,76,3,28
63,71,8,21
64,70,9,22
65,67,2,10
66,67,4,4
67,72,12,34
68,66,3,3
69,69,8,13
70,69,2,23
71,71,1,30
72,65,5,6
73,71,4,15
74,73,14,35
75,60,2,1
76,68,6,17
77,74,15,33
78,70,7,12
79,70,7,11
80,66,3,8
81,70,9,16
82,66,5,9
83,67,6,7
84,70,11,19
85,67,5,14
86,70,10,18
87,71,11,31
88,66,1,5
89,59,1,2
90,58,1,0
91,73,13,24

