vertex id,originalDegree,color,orderColored
0,245,245,259
1,245,0,0
2,247,3,513
3,243,1,515
4,243,2,514
5,244,4,512
6,246,5,511
7,244,6,510
8,249,7,509
9,244,8,508
10,242,9,507
11,248,10,506
12,246,11,505
13,250,12,504
14,244,13,503
15,239,14,502
16,244,16,501
17,245,17,500
18,244,17,499
19,242,18,498
20,245,19,497
21,244,20,496
22,246,21,495
23,247,22,494
24,247,23,493
25,246,24,492
26,248,26,491
27,246,27,490
28,240,27,489
29,244,28,488
30,246,29,487
31,246,30,486
32,247,32,485
33,247,34,484
34,248,33,483
35,248,35,482
36,247,35,481
37,247,37,480
38,244,38,479
39,244,38,478
40,246,40,477
41,246,42,476
42,243,42,475
43,246,43,474
44,245,43,473
45,245,45,472
46,247,46,471
47,246,46,470
48,245,47,469
49,245,49,468
50,246,49,467
51,244,51,466
52,247,52,465
53,249,53,464
54,244,53,463
55,245,55,462
56,243,56,461
57,239,57,460
58,244,61,459
59,244,59,458
60,244,60,457
61,246,61,456
62,247,63,455
63,244,63,454
64,244,64,453
65,245,65,452
66,244,66,451
67,243,67,450
68,243,72,449
69,242,68,448
70,243,69,447
71,245,70,446
72,242,71,445
73,246,72,444
74,246,74,443
75,250,77,442
76,248,76,441
77,247,78,440
78,244,77,439
79,242,79,438
80,246,80,437
81,246,82,436
82,243,81,435
83,247,84,434
84,241,83,433
85,239,87,432
86,242,86,431
87,243,90,430
88,246,91,429
89,244,90,428
90,246,94,427
91,242,91,426
92,243,92,425
93,242,94,424
94,242,97,423
95,240,95,422
96,244,96,421
97,242,98,420
98,239,99,419
99,239,98,418
100,239,99,417
101,245,103,416
102,242,103,415
103,240,105,414
104,237,106,413
105,237,105,412
106,245,108,411
107,243,108,410
108,245,112,409
109,243,111,408
110,242,110,407
111,243,114,406
112,246,116,405
113,242,115,404
114,243,116,403
115,243,115,402
116,245,121,401
117,239,119,400
118,240,120,399
119,238,120,398
120,241,123,397
121,235,121,396
122,241,123,395
123,237,124,394
124,238,126,393
125,238,128,392
126,236,131,391
127,241,131,390
128,239,129,389
129,235,131,388
130,238,130,387
131,242,133,386
132,239,136,385
133,238,134,384
134,236,136,383
135,236,136,382
136,238,137,381
137,238,141,380
138,239,142,379
139,240,142,378
140,241,145,377
141,237,143,376
142,233,144,375
143,236,143,374
144,236,146,373
145,238,148,372
146,237,149,371
147,236,150,370
148,239,152,369
149,239,154,368
150,239,154,367
151,236,154,366
152,239,155,365
153,237,156,364
154,239,157,363
155,235,158,362
156,237,159,361
157,235,160,360
158,238,163,359
159,238,163,358
160,236,164,357
161,237,165,356
162,236,167,355
163,237,169,354
164,236,166,353
165,235,175,352
166,230,174,351
167,238,175,350
168,233,173,349
169,229,186,333
170,231,171,348
171,232,195,330
172,234,192,334
173,237,176,347
174,233,178,346
175,232,177,345
176,231,180,344
177,234,210,320
178,238,181,343
179,232,180,342
180,233,181,341
181,233,183,340
182,234,190,339
183,229,186,338
184,234,190,337
185,232,197,332
186,227,203,321
187,225,194,328
188,230,214,319
189,229,196,329
190,229,195,331
191,229,210,323
192,224,204,317
193,226,197,324
194,225,201,322
195,228,188,336
196,225,189,335
197,225,201,325
198,223,196,326
199,224,213,310
200,223,210,316
201,222,216,311
202,221,192,327
203,224,206,315
204,221,205,314
205,220,214,309
206,221,212,313
207,218,213,307
208,221,215,312
209,218,209,306
210,221,205,318
211,210,208,302
212,206,201,301
213,212,207,308
214,215,211,304
215,210,204,303
216,207,202,298
217,211,207,305
218,201,198,294
219,203,199,299
220,199,196,295
221,204,200,300
222,200,196,297
223,199,194,296
224,197,196,292
225,197,194,293
226,198,196,291
227,194,192,290
228,186,184,289
229,182,180,285
230,182,180,288
231,178,177,284
232,181,180,287
233,172,170,282
234,174,173,283
235,178,177,286
236,167,166,279
237,168,167,280
238,167,165,281
239,160,159,278
240,142,142,276
241,139,138,275
242,133,132,274
243,118,117,273
244,103,101,272
245,86,85,271
246,85,85,270
247,84,84,269
248,73,73,268
249,43,43,267
250,31,30,266
251,16,16,265
252,13,13,263
253,13,13,264
254,7,7,262
255,2,2,260
256,2,2,261
257,151,149,277

