vertex id,originalDegree,color,orderColored
0,104,0,104
1,104,1,103
2,104,2,102
3,104,3,101
4,104,4,100
5,104,5,99
6,104,6,98
7,104,7,97
8,104,8,96
9,104,9,95
10,104,10,94
11,104,11,93
12,104,12,92
13,104,13,91
14,104,14,90
15,104,15,89
16,104,16,88
17,104,17,87
18,104,18,86
19,104,19,85
20,104,20,84
21,104,21,83
22,104,22,82
23,104,23,81
24,104,24,80
25,104,25,79
26,104,26,78
27,104,27,77
28,104,28,76
29,104,29,75
30,104,30,74
31,104,31,73
32,104,32,72
33,104,33,71
34,104,34,70
35,104,35,69
36,104,36,68
37,104,37,67
38,104,38,66
39,104,39,65
40,104,40,64
41,104,41,63
42,104,42,62
43,104,43,61
44,104,44,60
45,104,45,59
46,104,46,58
47,104,47,57
48,104,48,56
49,104,49,55
50,104,50,54
51,104,51,53
52,104,52,52
53,104,53,51
54,104,54,50
55,104,55,49
56,104,56,48
57,104,57,47
58,104,58,46
59,104,59,45
60,104,60,44
61,104,61,43
62,104,62,42
63,104,63,41
64,104,64,40
65,104,65,39
66,104,66,38
67,104,67,37
68,104,68,36
69,104,69,35
70,104,70,34
71,104,71,33
72,104,72,32
73,104,73,31
74,104,74,30
75,104,75,29
76,104,76,28
77,104,77,27
78,104,78,26
79,104,79,25
80,104,80,24
81,104,81,23
82,104,82,22
83,104,83,21
84,104,84,20
85,104,85,19
86,104,86,18
87,104,87,17
88,104,88,16
89,104,89,15
90,104,90,14
91,104,91,13
92,104,92,12
93,104,93,11
94,104,94,10
95,104,95,9
96,104,96,8
97,104,97,7
98,104,98,6
99,104,99,5
100,104,100,4
101,104,101,3
102,104,102,2
103,104,103,1
104,104,104,0

