vertex id,originalDegree,color,orderColored
0,2,0,232
1,2,1,231
2,2,2,230
3,2,1,229
4,2,2,228
5,2,1,227
6,2,2,226
7,2,1,225
8,2,2,224
9,2,1,223
10,2,2,222
11,2,1,221
12,2,2,220
13,2,1,219
14,2,2,218
15,2,1,217
16,2,2,216
17,2,1,215
18,2,2,214
19,2,1,213
20,2,2,212
21,2,1,211
22,2,2,210
23,2,1,209
24,2,2,208
25,2,1,207
26,2,2,206
27,2,1,205
28,2,2,204
29,2,1,203
30,2,2,202
31,2,1,201
32,2,2,200
33,2,1,199
34,2,2,198
35,2,1,197
36,2,2,196
37,2,1,195
38,2,2,194
39,2,1,193
40,2,2,192
41,2,1,191
42,2,2,190
43,2,1,189
44,2,2,188
45,2,1,187
46,2,2,186
47,2,1,185
48,2,2,184
49,2,1,183
50,2,2,182
51,2,1,181
52,2,2,180
53,2,1,179
54,2,2,178
55,2,1,177
56,2,2,176
57,2,1,175
58,2,2,174
59,2,1,173
60,2,2,172
61,2,1,171
62,2,2,170
63,2,1,169
64,2,2,168
65,2,1,167
66,2,2,166
67,2,1,165
68,2,2,164
69,2,1,163
70,2,2,162
71,2,1,161
72,2,2,160
73,2,1,159
74,2,2,158
75,2,1,157
76,2,2,156
77,2,1,155
78,2,2,154
79,2,1,153
80,2,2,152
81,2,1,151
82,2,2,150
83,2,1,149
84,2,2,148
85,2,1,147
86,2,2,146
87,2,1,145
88,2,2,144
89,2,1,143
90,2,2,142
91,2,1,141
92,2,2,140
93,2,1,139
94,2,2,138
95,2,1,137
96,2,2,136
97,2,1,135
98,2,2,134
99,2,1,133
100,2,2,132
101,2,1,131
102,2,2,130
103,2,1,129
104,2,2,128
105,2,1,127
106,2,2,126
107,2,1,125
108,2,2,124
109,2,1,123
110,2,2,122
111,2,1,121
112,2,2,120
113,2,1,119
114,2,2,118
115,2,1,117
116,2,2,116
117,2,1,115
118,2,2,114
119,2,1,113
120,2,2,112
121,2,1,111
122,2,2,110
123,2,1,109
124,2,2,108
125,2,1,107
126,2,2,106
127,2,1,105
128,2,2,104
129,2,1,103
130,2,2,102
131,2,1,101
132,2,2,100
133,2,1,99
134,2,2,98
135,2,1,97
136,2,2,96
137,2,1,95
138,2,2,94
139,2,1,93
140,2,2,92
141,2,1,91
142,2,2,90
143,2,1,89
144,2,2,88
145,2,1,87
146,2,2,86
147,2,1,85
148,2,2,84
149,2,1,83
150,2,2,82
151,2,1,81
152,2,2,80
153,2,1,79
154,2,2,78
155,2,1,77
156,2,2,76
157,2,1,75
158,2,2,74
159,2,1,73
160,2,2,72
161,2,1,71
162,2,2,70
163,2,1,69
164,2,2,68
165,2,1,67
166,2,2,66
167,2,1,65
168,2,2,64
169,2,1,63
170,2,2,62
171,2,1,61
172,2,2,60
173,2,1,59
174,2,2,58
175,2,1,57
176,2,2,56
177,2,1,55
178,2,2,54
179,2,1,53
180,2,2,52
181,2,1,51
182,2,2,50
183,2,1,49
184,2,2,48
185,2,1,47
186,2,2,46
187,2,1,45
188,2,2,44
189,2,1,43
190,2,2,42
191,2,1,41
192,2,2,40
193,2,1,39
194,2,2,38
195,2,1,37
196,2,2,36
197,2,1,35
198,2,2,34
199,2,1,33
200,2,2,32
201,2,1,31
202,2,2,30
203,2,1,29
204,2,2,28
205,2,1,27
206,2,2,26
207,2,1,25
208,2,2,24
209,2,1,23
210,2,2,22
211,2,1,21
212,2,2,20
213,2,1,19
214,2,2,18
215,2,1,17
216,2,2,16
217,2,1,15
218,2,2,14
219,2,1,13
220,2,2,12
221,2,1,11
222,2,2,10
223,2,1,9
224,2,2,8
225,2,1,7
226,2,2,6
227,2,1,5
228,2,2,4
229,2,1,3
230,2,2,2
231,2,1,1
232,2,2,0

