vertex id,originalDegree,color,orderColored
0,209,198,37
1,209,195,36
2,207,205,29
3,209,197,35
4,208,204,32
5,210,193,41
6,206,204,27
7,207,201,28
8,209,202,34
9,210,197,40
10,212,192,46
11,214,186,48
12,208,202,31
13,211,192,42
14,216,188,49
15,214,189,47
16,212,193,45
17,219,187,57
18,222,178,64
19,220,183,59
20,218,189,52
21,219,184,56
22,224,174,68
23,221,178,61
24,224,173,67
25,217,190,50
26,222,178,63
27,225,169,72
28,225,165,71
29,230,147,91
30,225,167,70
31,226,168,73
32,229,157,83
33,230,150,90
34,228,162,77
35,233,131,108
36,230,149,89
37,230,150,88
38,229,157,82
39,235,99,139
40,231,146,95
41,230,153,87
42,231,144,94
43,228,164,76
44,234,116,123
45,234,116,122
46,233,133,107
47,229,157,81
48,233,132,106
49,235,101,138
50,232,140,99
51,234,117,121
52,232,142,98
53,236,71,168
54,233,133,105
55,234,119,120
56,234,120,119
57,234,121,118
58,236,71,167
59,233,136,104
60,233,133,103
61,237,28,210
62,237,29,209
63,237,30,208
64,235,101,137
65,237,32,207
66,237,32,206
67,236,72,166
68,234,122,117
69,236,73,165
70,236,74,164
71,237,33,205
72,235,102,136
73,236,75,163
74,237,34,204
75,234,123,116
76,237,35,203
77,238,0,238
78,237,36,202
79,236,76,162
80,238,1,237
81,237,37,201
82,237,38,200
83,237,39,199
84,236,77,161
85,237,40,198
86,236,78,160
87,236,79,159
88,237,41,197
89,234,123,115
90,236,80,158
91,236,81,157
92,236,82,156
93,236,83,155
94,236,84,154
95,238,2,236
96,237,42,196
97,237,43,195
98,238,3,235
99,238,4,234
100,236,85,153
101,236,86,152
102,237,44,194
103,237,45,193
104,238,5,233
105,238,6,232
106,238,7,231
107,238,8,230
108,238,9,229
109,236,88,151
110,237,46,192
111,237,47,191
112,238,10,228
113,237,48,190
114,238,11,227
115,237,49,189
116,238,12,226
117,238,13,225
118,238,14,224
119,236,88,150
120,237,50,188
121,237,51,187
122,237,52,186
123,237,53,185
124,238,15,223
125,238,16,222
126,238,17,221
127,237,54,184
128,237,55,183
129,234,124,114
130,236,89,149
131,237,56,182
132,237,57,181
133,237,58,180
134,238,18,220
135,238,19,219
136,237,59,179
137,238,20,218
138,237,61,178
139,237,61,177
140,237,62,176
141,238,21,217
142,237,63,175
143,235,103,135
144,238,22,216
145,236,90,148
146,238,23,215
147,238,24,214
148,234,125,113
149,236,91,147
150,236,93,146
151,236,93,145
152,237,64,174
153,236,94,144
154,235,104,134
155,238,25,213
156,236,95,143
157,235,105,133
158,237,65,173
159,237,66,172
160,235,106,132
161,236,96,142
162,235,108,131
163,237,68,171
164,238,26,212
165,236,98,141
166,238,27,211
167,235,108,130
168,237,68,170
169,235,109,129
170,236,98,140
171,235,110,128
172,235,111,127
173,234,126,112
174,233,136,102
175,234,128,111
176,234,130,110
177,233,138,101
178,229,160,80
179,237,70,169
180,233,139,100
181,230,152,86
182,232,143,97
183,235,112,126
184,229,159,79
185,235,114,125
186,232,145,96
187,229,161,78
188,231,147,93
189,234,129,109
190,231,149,92
191,225,171,69
192,235,116,124
193,227,165,75
194,230,155,85
195,230,156,84
196,224,173,66
197,222,181,62
198,219,187,55
199,227,169,74
200,224,180,65
201,220,186,58
202,212,195,44
203,221,183,60
204,210,199,39
205,219,188,54
206,219,193,53
207,218,188,51
208,212,194,43
209,209,205,33
210,208,203,30
211,210,199,38
212,206,205,26
213,203,199,25
214,195,195,19
215,199,197,23
216,202,198,24
217,197,194,22
218,196,195,20
219,197,196,21
220,194,194,17
221,190,190,16
222,195,193,18
223,189,189,15
224,184,184,13
225,188,188,14
226,178,178,12
227,170,170,8
228,173,173,10
229,171,171,9
230,170,170,7
231,161,161,6
232,175,175,11
233,158,158,5
234,152,152,4
235,137,137,2
236,115,115,1
237,60,60,0
238,140,140,3

