vertex id,originalDegree,color,orderColored
0,284,0,284
1,284,1,0
2,284,2,1
3,284,3,2
4,284,4,3
5,284,5,4
6,284,6,5
7,284,7,6
8,284,8,7
9,284,9,8
10,284,10,9
11,284,11,10
12,284,12,11
13,284,13,12
14,284,14,13
15,284,15,14
16,284,16,15
17,284,17,16
18,284,18,17
19,284,19,18
20,284,20,19
21,284,21,20
22,284,22,21
23,284,23,22
24,284,24,23
25,284,25,24
26,284,26,25
27,284,27,26
28,284,28,27
29,284,29,28
30,284,30,29
31,284,31,30
32,284,32,31
33,284,33,32
34,284,34,33
35,284,35,34
36,284,36,35
37,284,37,36
38,284,38,37
39,284,39,38
40,284,40,39
41,284,41,40
42,284,42,41
43,284,43,42
44,284,44,43
45,284,45,44
46,284,46,45
47,284,47,46
48,284,48,47
49,284,49,48
50,284,50,49
51,284,51,50
52,284,52,51
53,284,53,52
54,284,54,53
55,284,55,54
56,284,56,55
57,284,57,56
58,284,58,57
59,284,59,58
60,284,60,59
61,284,61,60
62,284,62,61
63,284,63,62
64,284,64,63
65,284,65,64
66,284,66,65
67,284,67,66
68,284,68,67
69,284,69,68
70,284,70,69
71,284,71,70
72,284,72,71
73,284,73,72
74,284,74,73
75,284,75,74
76,284,76,75
77,284,77,76
78,284,78,77
79,284,79,78
80,284,80,79
81,284,81,80
82,284,82,81
83,284,83,82
84,284,84,83
85,284,85,84
86,284,86,85
87,284,87,86
88,284,88,87
89,284,89,88
90,284,90,89
91,284,91,90
92,284,92,91
93,284,93,92
94,284,94,93
95,284,95,94
96,284,96,95
97,284,97,96
98,284,98,97
99,284,99,98
100,284,100,99
101,284,101,100
102,284,102,101
103,284,103,102
104,284,104,103
105,284,105,104
106,284,106,105
107,284,107,106
108,284,108,107
109,284,109,108
110,284,110,109
111,284,111,110
112,284,112,111
113,284,113,112
114,284,114,113
115,284,115,114
116,284,116,115
117,284,117,116
118,284,118,117
119,284,119,118
120,284,120,119
121,284,121,120
122,284,122,121
123,284,123,122
124,284,124,123
125,284,125,124
126,284,126,125
127,284,127,126
128,284,128,127
129,284,129,128
130,284,130,129
131,284,131,130
132,284,132,131
133,284,133,132
134,284,134,133
135,284,135,134
136,284,136,135
137,284,137,136
138,284,138,137
139,284,139,138
140,284,140,139
141,284,141,140
142,284,142,141
143,284,143,142
144,284,144,143
145,284,145,144
146,284,146,145
147,284,147,146
148,284,148,147
149,284,149,148
150,284,150,149
151,284,151,150
152,284,152,151
153,284,153,152
154,284,154,153
155,284,155,154
156,284,156,155
157,284,157,156
158,284,158,157
159,284,159,158
160,284,160,159
161,284,161,160
162,284,162,161
163,284,163,162
164,284,164,163
165,284,165,164
166,284,166,165
167,284,167,166
168,284,168,167
169,284,169,168
170,284,170,169
171,284,171,170
172,284,172,171
173,284,173,172
174,284,174,173
175,284,175,174
176,284,176,175
177,284,177,176
178,284,178,177
179,284,179,178
180,284,180,179
181,284,181,180
182,284,182,181
183,284,183,182
184,284,184,183
185,284,185,184
186,284,186,185
187,284,187,186
188,284,188,187
189,284,189,188
190,284,190,189
191,284,191,190
192,284,192,191
193,284,193,192
194,284,194,193
195,284,195,194
196,284,196,195
197,284,197,196
198,284,198,197
199,284,199,198
200,284,200,199
201,284,201,200
202,284,202,201
203,284,203,202
204,284,204,203
205,284,205,204
206,284,206,205
207,284,207,206
208,284,208,207
209,284,209,208
210,284,210,209
211,284,211,210
212,284,212,211
213,284,213,212
214,284,214,213
215,284,215,214
216,284,216,215
217,284,217,216
218,284,218,217
219,284,219,218
220,284,220,219
221,284,221,220
222,284,222,221
223,284,223,222
224,284,224,223
225,284,225,224
226,284,226,225
227,284,227,226
228,284,228,227
229,284,229,228
230,284,230,229
231,284,231,230
232,284,232,231
233,284,233,232
234,284,234,233
235,284,235,234
236,284,236,235
237,284,237,236
238,284,238,237
239,284,239,238
240,284,240,239
241,284,241,240
242,284,242,241
243,284,243,242
244,284,244,243
245,284,245,244
246,284,246,245
247,284,247,246
248,284,248,247
249,284,249,248
250,284,250,249
251,284,251,250
252,284,252,251
253,284,253,252
254,284,254,253
255,284,255,254
256,284,256,255
257,284,257,256
258,284,258,257
259,284,259,258
260,284,260,259
261,284,261,260
262,284,262,261
263,284,263,262
264,284,264,263
265,284,265,264
266,284,266,265
267,284,267,266
268,284,268,267
269,284,269,268
270,284,270,269
271,284,271,270
272,284,272,271
273,284,273,272
274,284,274,273
275,284,275,274
276,284,276,275
277,284,277,276
278,284,278,277
279,284,279,278
280,284,280,279
281,284,281,280
282,284,282,281
283,284,283,282
284,284,284,283

