vertex id,originalDegree,color,orderColored
0,2,1,61
1,2,2,0
2,2,1,60
3,2,0,0
4,2,2,59
5,2,0,0
6,2,2,58
7,2,0,0
8,2,2,57
9,2,0,0
10,2,2,56
11,2,0,0
12,2,2,55
13,2,0,0
14,2,2,54
15,2,0,0
16,2,2,53
17,2,0,0
18,2,2,52
19,2,0,0
20,2,2,51
21,2,0,0
22,2,2,50
23,2,0,0
24,2,2,49
25,2,0,0
26,2,2,48
27,2,0,0
28,2,2,47
29,2,0,0
30,2,2,46
31,2,0,0
32,2,2,45
33,2,0,0
34,2,2,44
35,2,0,0
36,2,2,43
37,2,0,0
38,2,2,42
39,2,0,0
40,2,2,41
41,2,0,0
42,2,2,40
43,2,0,0
44,2,2,39
45,2,0,0
46,2,2,38
47,2,0,0
48,2,2,37
49,2,0,0
50,2,2,36
51,2,0,0
52,2,2,35
53,2,0,0
54,2,2,34
55,2,0,0
56,2,2,33
57,2,0,0
58,2,2,32
59,2,0,0
60,2,2,31
61,2,1,30
62,2,2,29
63,2,1,28
64,2,2,27
65,2,1,26
66,2,2,25
67,2,1,24
68,2,2,23
69,2,1,22
70,2,2,21
71,2,1,20
72,2,2,19
73,2,1,18
74,2,2,17
75,2,1,16
76,2,2,15
77,2,1,14
78,2,2,13
79,2,1,12
80,2,2,11
81,2,1,10
82,2,2,9
83,2,1,8
84,2,2,7
85,2,1,6
86,2,2,5
87,2,1,4
88,2,2,3
89,2,1,2
90,2,2,1
91,2,0,0

