vertex id,originalDegree,color,orderColored
0,290,28,263
1,289,66,223
2,295,70,225
3,294,71,224
4,297,283,14
5,297,21,281
6,294,67,227
7,297,64,233
8,295,282,13
9,295,53,242
10,297,69,229
11,294,64,230
12,295,65,232
13,294,293,1
14,293,291,2
15,301,298,3
16,303,299,4
17,298,49,249
18,303,298,5
19,308,308,0
20,312,67,245
21,309,63,248
22,309,303,7
23,308,51,257
24,310,301,9
25,307,299,8
26,309,299,10
27,309,303,6
28,310,60,252
29,310,299,11
30,312,62,251
31,318,302,16
32,311,297,15
33,317,305,12
34,313,296,17
35,318,297,21
36,313,295,18
37,313,294,19
38,313,293,20
39,313,291,22
40,315,81,235
41,317,294,23
42,326,90,236
43,320,83,238
44,318,294,24
45,321,296,25
46,318,292,26
47,321,60,261
48,319,292,27
49,322,294,28
50,320,291,29
51,323,293,30
52,326,295,31
53,324,292,32
54,322,289,33
55,325,291,34
56,325,290,35
57,325,289,36
58,320,283,37
59,324,71,253
60,325,71,256
61,330,292,38
62,326,287,39
63,328,288,40
64,328,287,41
65,328,89,239
66,328,286,42
67,331,288,43
68,322,82,241
69,327,283,44
70,325,280,45
71,329,283,46
72,326,279,47
73,330,282,48
74,327,278,49
75,329,279,50
76,324,273,51
77,331,279,52
78,326,273,53
79,328,274,54
80,330,275,55
81,327,271,56
82,331,65,266
83,331,274,57
84,330,272,58
85,330,271,59
86,328,268,60
87,330,269,61
88,329,58,271
89,331,269,62
90,330,267,63
91,331,267,64
92,329,264,65
93,330,264,66
94,331,264,67
95,328,260,68
96,330,261,69
97,330,260,70
98,331,260,71
99,329,257,72
100,330,257,73
101,329,255,74
102,328,253,75
103,328,252,76
104,329,252,77
105,331,253,78
106,331,252,79
107,332,252,80
108,330,249,81
109,327,245,82
110,332,249,83
111,330,246,84
112,329,244,85
113,330,244,86
114,330,243,87
115,330,242,88
116,330,241,89
117,330,240,90
118,331,240,91
119,330,238,92
120,330,237,93
121,331,237,94
122,331,236,95
123,331,235,96
124,331,234,97
125,331,233,98
126,330,231,99
127,330,230,100
128,332,231,101
129,330,228,102
130,332,229,103
131,332,228,104
132,332,227,105
133,328,222,106
134,330,223,107
135,331,223,108
136,330,221,109
137,331,221,110
138,328,217,111
139,331,219,112
140,330,87,244
141,331,218,113
142,332,218,114
143,330,215,115
144,331,215,116
145,331,214,117
146,331,213,118
147,330,211,119
148,331,211,120
149,331,210,121
150,331,209,122
151,332,209,123
152,332,208,124
153,330,205,125
154,330,204,126
155,330,203,127
156,330,202,128
157,330,201,129
158,331,201,130
159,332,201,131
160,332,200,132
161,329,196,133
162,331,197,134
163,332,197,135
164,330,194,136
165,330,84,247
166,331,194,137
167,330,192,138
168,331,192,139
169,331,191,140
170,332,191,141
171,330,188,142
172,331,188,143
173,331,187,144
174,331,186,145
175,331,185,146
176,331,184,147
177,331,183,148
178,330,181,149
179,331,181,150
180,330,179,151
181,329,177,152
182,331,178,153
183,331,177,154
184,331,176,155
185,332,176,156
186,331,174,157
187,332,174,158
188,332,173,159
189,331,171,160
190,330,169,161
191,330,168,162
192,330,167,163
193,330,166,164
194,330,165,165
195,330,164,166
196,330,163,167
197,329,161,168
198,330,161,169
199,331,161,170
200,332,161,171
201,331,159,172
202,331,158,173
203,330,156,174
204,332,157,175
205,330,154,176
206,331,154,177
207,332,154,178
208,332,153,179
209,331,151,180
210,331,150,181
211,330,148,182
212,329,146,183
213,330,146,184
214,329,144,185
215,330,144,186
216,330,143,187
217,331,143,188
218,331,142,189
219,330,140,190
220,330,139,191
221,331,139,192
222,329,136,193
223,331,137,194
224,331,136,195
225,330,134,196
226,332,135,197
227,329,131,198
228,331,132,199
229,329,129,200
230,330,129,201
231,331,129,202
232,328,125,203
233,331,127,204
234,332,127,205
235,331,125,206
236,324,117,207
237,327,119,208
238,328,119,209
239,330,120,210
240,328,117,211
241,332,120,212
242,329,101,228
243,330,117,213
244,327,113,214
245,331,116,215
246,330,114,216
247,327,110,217
248,328,110,218
249,329,110,219
250,332,112,220
251,325,75,250
252,329,92,237
253,326,68,260
254,328,102,226
255,330,99,231
256,328,107,221
257,328,66,262
258,324,102,222
259,324,78,246
260,328,94,234
261,326,83,243
262,325,85,240
263,328,74,255
264,327,73,254
265,326,68,259
266,326,68,258
267,327,60,267
268,324,52,272
269,326,49,277
270,323,56,268
271,322,61,264
272,317,50,270
273,318,46,273
274,322,55,269
275,313,41,274
276,321,59,265
277,317,38,287
278,318,46,275
279,321,44,279
280,320,43,278
281,313,36,282
282,313,36,280
283,308,29,284
284,310,40,276
285,316,37,286
286,318,41,283
287,308,29,288
288,304,24,289
289,301,22,291
290,306,27,285
291,298,20,294
292,295,15,293
293,301,21,292
294,303,23,290
295,296,18,295
296,290,11,296
297,280,9,305
298,292,18,298
299,288,12,297
300,285,13,302
301,284,12,299
302,278,8,304
303,282,11,301
304,279,8,306
305,277,7,308
306,278,6,300
307,275,4,303
308,275,6,307
309,274,4,309
310,267,3,313
311,269,4,312
312,270,1,310
313,272,5,311
314,269,7,314
315,258,4,317
316,255,1,318
317,259,0,315
318,258,1,316
319,254,1,319
320,253,1,320
321,248,0,321
322,244,0,322
323,236,0,325
324,243,0,323
325,236,0,324
326,213,0,326
327,209,1,328
328,213,1,327
329,205,0,329
330,149,0,331
331,68,0,332
332,188,0,330

