vertex id,originalDegree,color,orderColored
0,44,2,1
1,44,1,0
2,48,3,2
3,44,6,5
4,42,5,4
5,48,4,3
6,53,11,15
7,47,8,8
8,40,16,37
9,51,7,7
10,50,5,6
11,42,10,12
12,43,4,17
13,45,13,18
14,51,3,29
15,46,1,9
16,40,6,28
17,44,8,11
18,43,17,31
19,44,9,10
20,43,12,19
21,51,14,22
22,45,12,16
23,44,15,27
24,44,13,30
25,46,9,13
26,44,10,14
27,45,15,23
28,44,17,26
29,42,10,20
30,43,2,34
31,41,1,35
32,41,8,25
33,41,18,36
34,42,2,21
35,40,2,43
36,39,15,39
37,41,7,33
38,45,16,24
39,37,11,42
40,37,16,46
41,40,14,41
42,36,12,49
43,39,13,45
44,36,17,48
45,34,20,55
46,37,14,53
47,40,18,32
48,37,6,44
49,39,4,40
50,38,6,52
51,37,1,54
52,40,18,50
53,39,9,47
54,40,19,51
55,41,7,38

