vertex id,originalDegree,color,orderColored
0,148,148,0
1,146,145,1
2,146,144,2
3,150,147,3
4,147,143,4
5,146,141,5
6,144,138,6
7,145,138,7
8,149,141,8
9,150,141,9
10,149,139,10
11,148,137,11
12,146,134,12
13,145,132,13
14,147,133,14
15,148,133,15
16,150,134,16
17,147,130,17
18,145,127,18
19,146,127,19
20,144,124,20
21,145,124,21
22,147,125,22
23,147,124,23
24,147,123,24
25,147,122,25
26,147,121,26
27,145,118,27
28,148,120,28
29,145,116,29
30,147,117,30
31,144,113,31
32,148,116,32
33,145,112,33
34,145,111,34
35,145,110,35
36,145,109,36
37,145,108,37
38,148,110,38
39,145,106,39
40,140,100,40
41,145,104,41
42,147,105,42
43,142,99,43
44,144,100,44
45,143,98,45
46,143,97,46
47,145,98,47
48,145,97,48
49,144,95,49
50,144,94,50
51,143,92,51
52,144,92,52
53,145,92,53
54,144,90,54
55,139,84,55
56,143,87,56
57,139,82,57
58,146,88,58
59,141,82,59
60,140,80,60
61,145,84,61
62,145,83,62
63,145,82,63
64,142,78,64
65,147,82,65
66,146,80,66
67,145,78,67
68,142,74,68
69,142,73,69
70,143,73,70
71,141,70,71
72,141,69,72
73,143,70,73
74,143,69,74
75,142,67,75
76,143,67,76
77,142,65,77
78,142,64,78
79,145,66,79
80,144,64,80
81,143,62,81
82,140,58,82
83,141,58,83
84,141,29,112
85,139,55,84
86,145,60,85
87,141,55,86
88,140,53,87
89,138,50,88
90,142,53,89
91,139,49,90
92,138,47,91
93,138,33,105
94,141,49,92
95,138,45,93
96,139,45,94
97,138,43,95
98,139,43,96
99,140,43,97
100,135,31,104
101,138,40,98
102,136,37,99
103,136,36,100
104,138,35,103
105,133,31,102
106,134,33,101
107,135,29,106
108,138,32,108
109,138,32,107
110,139,30,111
111,138,29,110
112,135,23,114
113,131,19,117
114,135,23,113
115,135,23,116
116,133,25,109
117,135,23,115
118,132,19,120
119,128,14,122
120,127,15,119
121,132,20,118
122,130,16,123
123,125,15,125
124,123,12,124
125,119,9,128
126,124,13,121
127,115,6,130
128,118,8,126
129,121,10,129
130,114,6,134
131,121,11,131
132,118,7,127
133,114,8,135
134,114,8,132
135,110,5,136
136,112,4,133
137,109,4,138
138,103,4,141
139,104,2,139
140,107,3,137
141,101,1,140
142,91,0,142
143,81,0,144
144,79,0,145
145,72,0,146
146,60,0,148
147,61,0,147
148,48,0,149
149,32,0,150
150,30,0,151
151,18,0,152
152,7,0,154
153,7,0,153
154,6,0,155
155,3,0,156
156,90,0,143

