vertex id,originalDegree,color,orderColored
0,2,0,292
1,2,1,291
2,2,2,290
3,2,1,289
4,2,2,288
5,2,1,287
6,2,2,286
7,2,1,285
8,2,2,284
9,2,1,283
10,2,2,282
11,2,1,281
12,2,2,280
13,2,1,279
14,2,2,278
15,2,1,277
16,2,2,276
17,2,1,275
18,2,2,274
19,2,1,273
20,2,2,272
21,2,1,271
22,2,2,270
23,2,1,269
24,2,2,268
25,2,1,267
26,2,2,266
27,2,1,265
28,2,2,264
29,2,1,263
30,2,2,262
31,2,1,261
32,2,2,260
33,2,1,259
34,2,2,258
35,2,1,257
36,2,2,256
37,2,1,255
38,2,2,254
39,2,1,253
40,2,2,252
41,2,1,251
42,2,2,250
43,2,1,249
44,2,2,248
45,2,1,247
46,2,2,246
47,2,1,245
48,2,2,244
49,2,1,243
50,2,2,242
51,2,1,241
52,2,2,240
53,2,1,239
54,2,2,238
55,2,1,237
56,2,2,236
57,2,1,235
58,2,2,234
59,2,1,233
60,2,2,232
61,2,1,231
62,2,2,230
63,2,1,229
64,2,2,228
65,2,1,227
66,2,2,226
67,2,1,225
68,2,2,224
69,2,1,223
70,2,2,222
71,2,1,221
72,2,2,220
73,2,1,219
74,2,2,218
75,2,1,217
76,2,2,216
77,2,1,215
78,2,2,214
79,2,1,213
80,2,2,212
81,2,1,211
82,2,2,210
83,2,1,209
84,2,2,208
85,2,1,207
86,2,2,206
87,2,1,205
88,2,2,204
89,2,1,203
90,2,2,202
91,2,1,201
92,2,2,200
93,2,1,199
94,2,2,198
95,2,1,197
96,2,2,196
97,2,1,195
98,2,2,194
99,2,1,193
100,2,2,192
101,2,1,191
102,2,2,190
103,2,1,189
104,2,2,188
105,2,1,187
106,2,2,186
107,2,1,185
108,2,2,184
109,2,1,183
110,2,2,182
111,2,1,181
112,2,2,180
113,2,1,179
114,2,2,178
115,2,1,177
116,2,2,176
117,2,1,175
118,2,2,174
119,2,1,173
120,2,2,172
121,2,1,171
122,2,2,170
123,2,1,169
124,2,2,168
125,2,1,167
126,2,2,166
127,2,1,165
128,2,2,164
129,2,1,163
130,2,2,162
131,2,1,161
132,2,2,160
133,2,1,159
134,2,2,158
135,2,1,157
136,2,2,156
137,2,1,155
138,2,2,154
139,2,1,153
140,2,2,152
141,2,1,151
142,2,2,150
143,2,1,149
144,2,2,148
145,2,1,147
146,2,2,146
147,2,1,145
148,2,2,144
149,2,1,143
150,2,2,142
151,2,1,141
152,2,2,140
153,2,1,139
154,2,2,138
155,2,1,137
156,2,2,136
157,2,1,135
158,2,2,134
159,2,1,133
160,2,2,132
161,2,1,131
162,2,2,130
163,2,1,129
164,2,2,128
165,2,1,127
166,2,2,126
167,2,1,125
168,2,2,124
169,2,1,123
170,2,2,122
171,2,1,121
172,2,2,120
173,2,1,119
174,2,2,118
175,2,1,117
176,2,2,116
177,2,1,115
178,2,2,114
179,2,1,113
180,2,2,112
181,2,1,111
182,2,2,110
183,2,1,109
184,2,2,108
185,2,1,107
186,2,2,106
187,2,1,105
188,2,2,104
189,2,1,103
190,2,2,102
191,2,1,101
192,2,2,100
193,2,1,99
194,2,2,98
195,2,1,97
196,2,2,96
197,2,1,95
198,2,2,94
199,2,1,93
200,2,2,92
201,2,1,91
202,2,2,90
203,2,1,89
204,2,2,88
205,2,1,87
206,2,2,86
207,2,1,85
208,2,2,84
209,2,1,83
210,2,2,82
211,2,1,81
212,2,2,80
213,2,1,79
214,2,2,78
215,2,1,77
216,2,2,76
217,2,1,75
218,2,2,74
219,2,1,73
220,2,2,72
221,2,1,71
222,2,2,70
223,2,1,69
224,2,2,68
225,2,1,67
226,2,2,66
227,2,1,65
228,2,2,64
229,2,1,63
230,2,2,62
231,2,1,61
232,2,2,60
233,2,1,59
234,2,2,58
235,2,1,57
236,2,2,56
237,2,1,55
238,2,2,54
239,2,1,53
240,2,2,52
241,2,1,51
242,2,2,50
243,2,1,49
244,2,2,48
245,2,1,47
246,2,2,46
247,2,1,45
248,2,2,44
249,2,1,43
250,2,2,42
251,2,1,41
252,2,2,40
253,2,1,39
254,2,2,38
255,2,1,37
256,2,2,36
257,2,1,35
258,2,2,34
259,2,1,33
260,2,2,32
261,2,1,31
262,2,2,30
263,2,1,29
264,2,2,28
265,2,1,27
266,2,2,26
267,2,1,25
268,2,2,24
269,2,1,23
270,2,2,22
271,2,1,21
272,2,2,20
273,2,1,19
274,2,2,18
275,2,1,17
276,2,2,16
277,2,1,15
278,2,2,14
279,2,1,13
280,2,2,12
281,2,1,11
282,2,2,10
283,2,1,9
284,2,2,8
285,2,1,7
286,2,2,6
287,2,1,5
288,2,2,4
289,2,1,3
290,2,2,2
291,2,1,1
292,2,2,0

