vertex id,originalDegree,color,orderColored
0,232,43,68
1,231,38,73
2,229,56,89
3,225,66,118
4,228,61,98
5,235,34,42
6,238,16,25
7,238,21,24
8,226,52,110
9,238,20,23
10,247,3,2
11,233,22,57
12,228,60,97
13,232,36,67
14,239,15,16
15,240,9,10
16,233,17,56
17,229,55,88
18,231,50,72
19,232,47,66
20,225,65,117
21,229,54,87
22,229,53,86
23,231,49,71
24,235,28,41
25,228,59,96
26,232,46,65
27,234,7,49
28,249,2,1
29,240,8,9
30,236,27,33
31,232,45,64
32,230,51,80
33,235,33,40
34,231,48,70
35,225,57,116
36,224,52,125
37,226,14,109
38,232,44,63
39,232,35,62
40,239,14,15
41,237,19,29
42,237,24,28
43,234,31,48
44,238,19,22
45,235,32,39
46,240,6,8
47,240,7,7
48,235,31,38
49,226,42,108
50,228,9,95
51,229,11,85
52,226,63,107
53,229,40,84
54,225,58,115
55,227,26,104
56,259,1,0
57,240,1,6
58,233,10,55
59,235,18,37
60,241,5,4
61,236,26,32
62,245,4,3
63,234,37,47
64,234,23,46
65,239,13,14
66,235,30,36
67,227,32,103
68,227,28,102
69,234,25,45
70,239,12,13
71,235,29,35
72,238,12,21
73,237,23,27
74,238,18,20
75,238,17,19
76,236,13,31
77,230,3,79
78,226,62,106
79,232,29,61
80,238,4,18
81,228,30,94
82,231,39,69
83,233,5,54
84,228,8,93
85,228,58,92
86,225,64,114
87,224,9,124
88,233,40,53
89,230,46,78
90,234,36,44
91,236,25,30
92,237,22,26
93,230,26,77
94,232,43,60
95,229,52,83
96,225,15,113
97,221,67,141
98,228,57,91
99,224,56,123
100,230,27,76
101,233,33,52
102,230,20,75
103,225,39,112
104,228,53,90
105,240,6,5
106,232,42,59
107,224,60,122
108,232,41,58
109,227,42,101
110,216,68,160
111,233,39,51
112,234,35,43
113,229,50,82
114,222,65,136
115,223,41,128
116,227,37,100
117,239,11,12
118,238,16,17
119,220,37,148
120,221,66,140
121,233,38,50
122,230,13,74
123,235,28,34
124,239,10,11
125,222,61,135
126,223,50,127
127,219,68,152
128,212,53,189
129,217,67,158
130,220,6,147
131,212,34,188
132,218,10,155
133,229,45,81
134,223,17,126
135,210,19,206
136,214,67,170
137,224,33,121
138,226,47,105
139,227,14,99
140,224,55,120
141,221,51,139
142,219,34,151
143,220,5,146
144,219,62,150
145,222,21,134
146,214,45,169
147,212,59,187
148,210,74,205
149,210,77,204
150,199,30,250
151,219,67,149
152,213,71,179
153,222,2,133
154,221,54,138
155,222,49,132
156,222,65,131
157,214,12,168
158,208,23,217
159,212,66,186
160,214,70,167
161,214,72,166
162,221,46,137
163,225,24,111
164,218,69,154
165,209,56,211
166,204,15,235
167,222,63,130
168,222,15,129
169,220,54,145
170,205,79,230
171,212,48,185
172,216,30,159
173,211,75,194
174,211,35,193
175,212,32,184
176,207,72,221
177,210,25,203
178,211,73,192
179,218,11,153
180,210,36,202
181,215,70,163
182,217,59,157
183,215,44,162
184,208,80,216
185,202,82,246
186,208,78,215
187,220,40,144
188,220,64,143
189,214,21,165
190,208,70,214
191,203,55,240
192,202,42,245
193,220,28,142
194,215,41,161
195,210,76,201
196,208,79,213
197,209,49,210
198,213,63,178
199,212,75,183
200,209,78,209
201,213,27,177
202,213,60,176
203,212,44,182
204,203,69,239
205,213,18,175
206,211,43,191
207,204,78,234
208,195,79,254
209,200,40,249
210,203,77,238
211,205,69,229
212,206,80,225
213,206,47,224
214,209,73,208
215,204,82,233
216,206,10,223
217,205,81,228
218,210,8,200
219,213,58,174
220,217,48,156
221,210,2,199
222,207,57,220
223,196,83,252
224,202,53,244
225,202,81,243
226,210,56,198
227,224,7,119
228,210,72,197
229,204,76,232
230,202,4,242
231,200,45,248
232,206,77,222
233,203,71,237
234,211,39,190
235,209,64,207
236,205,51,227
237,213,18,173
238,213,69,172
239,212,74,181
240,213,73,171
241,208,3,212
242,207,34,219
243,212,68,180
244,210,62,196
245,202,52,241
246,210,27,195
247,204,7,231
248,201,19,247
249,205,55,226
250,214,71,164
251,195,74,253
252,198,71,251
253,203,31,236
254,190,11,256
255,192,81,255
256,183,16,258
257,184,22,257
258,176,3,259
259,207,42,218

