vertex id,originalDegree,color,orderColored
0,2,0,0
1,2,1,0
2,2,2,0
3,2,1,0
4,2,2,0
5,2,3,0
6,2,4,0
7,2,5,0
8,2,6,0
9,2,7,0
10,2,8,0
11,2,9,0
12,2,10,0
13,2,11,0
14,2,12,0
15,2,13,0
16,2,14,0
17,2,15,0
18,2,16,0
19,2,17,0
20,2,18,0
21,2,19,0
22,2,20,0
23,2,21,0
24,2,22,0
25,2,23,0
26,2,24,0
27,2,25,0
28,2,26,0
29,2,27,0
30,2,28,0
31,2,29,0
32,2,30,0
33,2,31,0
34,2,32,0
35,2,33,0
36,2,34,0
37,2,35,0
38,2,36,0
39,2,37,0
40,2,38,0
41,2,39,0
42,2,40,0
43,2,41,0
44,2,42,0
45,2,43,0
46,2,44,0
47,2,45,0

