vertex id,originalDegree,color,orderColored
0,254,0,0
1,252,1,0
2,261,2,0
3,257,3,0
4,259,3,0
5,259,4,0
6,257,6,0
7,260,7,0
8,263,8,0
9,266,9,0
10,265,8,0
11,264,11,0
12,260,11,0
13,265,12,0
14,257,14,0
15,267,15,0
16,265,16,0
17,266,17,0
18,271,18,0
19,264,19,0
20,268,17,0
21,269,21,0
22,273,22,0
23,277,23,0
24,280,24,0
25,279,24,0
26,273,26,0
27,276,27,0
28,278,27,0
29,282,29,0
30,280,25,0
31,270,31,0
32,280,27,0
33,276,33,0
34,280,30,0
35,281,35,0
36,280,36,0
37,277,37,0
38,283,38,0
39,284,39,0
40,285,36,0
41,285,41,0
42,285,42,0
43,282,41,0
44,285,44,0
45,283,40,0
46,284,46,0
47,291,47,0
48,289,48,0
49,288,49,0
50,286,50,0
51,291,51,0
52,285,52,0
53,288,53,0
54,291,54,0
55,292,55,0
56,289,56,0
57,288,57,0
58,293,58,0
59,291,59,0
60,288,59,0
61,286,61,0
62,291,62,0
63,287,63,0
64,289,64,0
65,287,65,0
66,290,66,0
67,287,67,0
68,291,65,0
69,292,69,0
70,293,70,0
71,290,71,0
72,292,72,0
73,290,73,0
74,289,74,0
75,290,75,0
76,292,76,0
77,293,77,0
78,291,78,0
79,292,79,0
80,293,80,0
81,291,81,0
82,288,82,0
83,292,83,0
84,292,84,0
85,290,85,0
86,291,86,0
87,292,87,0
88,294,88,0
89,293,89,0
90,290,90,0
91,291,91,0
92,290,92,0
93,291,93,0
94,293,94,0
95,292,95,0
96,292,96,0
97,293,97,0
98,293,98,0
99,293,99,0
100,293,100,0
101,293,101,0
102,290,102,0
103,293,103,0
104,291,104,0
105,292,105,0
106,292,106,0
107,289,107,0
108,293,108,0
109,291,109,0
110,293,110,0
111,292,111,0
112,293,112,0
113,294,113,0
114,294,114,0
115,291,115,0
116,292,116,0
117,294,117,0
118,292,118,0
119,293,119,0
120,293,120,0
121,293,121,0
122,294,122,0
123,292,123,0
124,293,124,0
125,294,125,0
126,294,126,0
127,293,127,0
128,292,128,0
129,293,129,0
130,292,130,0
131,293,131,0
132,293,132,0
133,293,133,0
134,293,134,0
135,293,135,0
136,293,136,0
137,294,137,0
138,292,138,0
139,292,139,0
140,292,138,0
141,294,141,0
142,294,142,0
143,294,143,0
144,293,144,0
145,293,145,0
146,294,146,0
147,293,147,0
148,294,148,0
149,292,149,0
150,293,150,0
151,293,151,0
152,294,152,0
153,293,153,0
154,292,154,0
155,291,155,0
156,293,156,0
157,294,157,0
158,293,158,0
159,293,159,0
160,291,160,0
161,293,161,0
162,293,162,0
163,293,163,0
164,293,164,0
165,293,165,0
166,292,166,0
167,293,167,0
168,294,168,0
169,294,169,0
170,294,170,0
171,293,171,0
172,293,172,0
173,292,173,0
174,292,174,0
175,292,175,0
176,293,176,0
177,293,177,0
178,292,178,0
179,293,179,0
180,292,180,0
181,294,181,0
182,293,182,0
183,294,183,0
184,292,184,0
185,293,185,0
186,294,186,0
187,291,187,0
188,293,188,0
189,291,189,0
190,292,190,0
191,292,191,0
192,293,192,0
193,288,193,0
194,292,194,0
195,293,195,0
196,292,196,0
197,289,197,0
198,293,198,0
199,294,199,0
200,291,200,0
201,293,201,0
202,294,202,0
203,291,203,0
204,293,204,0
205,293,205,0
206,292,206,0
207,289,207,0
208,288,208,0
209,291,209,0
210,293,210,0
211,292,211,0
212,290,212,0
213,290,213,0
214,294,214,0
215,287,215,0
216,289,216,0
217,287,217,0
218,291,218,0
219,289,219,0
220,290,220,0
221,291,221,0
222,290,10,0
223,290,223,0
224,292,224,0
225,288,13,0
226,290,226,0
227,291,227,0
228,289,3,0
229,288,229,0
230,284,12,0
231,289,1,0
232,288,232,0
233,288,233,0
234,288,15,0
235,283,6,0
236,286,26,0
237,288,237,0
238,284,238,0
239,287,235,0
240,284,10,0
241,278,31,0
242,276,32,0
243,287,14,0
244,280,13,0
245,279,236,0
246,280,29,0
247,278,28,0
248,280,248,0
249,268,248,0
250,281,15,0
251,268,248,0
252,273,249,0
253,272,245,0
254,269,242,0
255,267,243,0
256,262,255,0
257,274,33,0
258,259,253,0
259,264,244,0
260,262,257,0
261,256,254,0
262,255,261,0
263,256,260,0
264,254,261,0
265,252,259,0
266,246,265,0
267,248,266,0
268,247,267,0
269,245,268,0
270,246,269,0
271,241,270,0
272,241,271,0
273,236,272,0
274,237,271,0
275,239,274,0
276,232,275,0
277,231,276,0
278,231,277,0
279,234,278,0
280,225,279,0
281,222,280,0
282,217,281,0
283,227,282,0
284,220,283,0
285,205,284,0
286,209,285,0
287,202,286,0
288,204,287,0
289,193,288,0
290,187,289,0
291,180,290,0
292,137,291,0
293,60,292,0
294,161,293,0

