vertex id,originalDegree,color,orderColored
0,365,0,0
1,363,0,0
2,360,10,0
3,344,10,0
4,347,10,0
5,367,0,0
6,368,5,0
7,350,25,0
8,339,23,0
9,372,5,0
10,365,0,0
11,365,13,0
12,353,89,0
13,350,43,0
14,356,0,0
15,369,12,0
16,367,11,0
17,355,13,0
18,352,11,0
19,356,43,0
20,350,44,0
21,350,18,0
22,347,9,0
23,359,51,0
24,370,8,0
25,361,11,0
26,363,36,0
27,358,58,0
28,379,2,0
29,360,61,0
30,358,19,0
31,365,19,0
32,354,44,0
33,353,51,0
34,353,16,0
35,352,13,0
36,357,36,0
37,363,11,0
38,368,14,0
39,358,73,0
40,366,26,0
41,349,95,0
42,358,50,0
43,353,36,0
44,349,74,0
45,361,53,0
46,356,6,0
47,360,62,0
48,353,19,0
49,351,6,0
50,350,12,0
51,367,22,0
52,349,10,0
53,343,49,0
54,349,11,0
55,354,31,0
56,412,0,0
57,365,0,0
58,368,1,0
59,358,3,0
60,368,1,0
61,362,45,0
62,371,7,0
63,366,1,0
64,355,49,0
65,357,1,0
66,355,63,0
67,356,1,0
68,348,10,0
69,358,23,0
70,359,1,0
71,362,0,0
72,363,1,0
73,358,43,0
74,373,3,0
75,366,21,0
76,365,25,0
77,370,9,0
78,353,31,0
79,361,46,0
80,361,5,0
81,360,63,0
82,355,37,0
83,362,16,0
84,360,50,0
85,350,28,0
86,355,25,0
87,353,12,0
88,348,51,0
89,373,4,0
90,361,8,0
91,367,23,0
92,348,37,0
93,362,36,0
94,364,37,0
95,356,25,0
96,350,104,0
97,353,83,0
98,364,36,0
99,352,36,0
100,357,13,0
101,362,0,0
102,368,17,0
103,360,25,0
104,356,36,0
105,372,6,0
106,359,71,0
107,355,5,0
108,356,21,0
109,350,19,0
110,348,40,0
111,358,55,0
112,360,3,0
113,370,10,0
114,351,3,0
115,351,8,0
116,351,41,0
117,360,67,0
118,365,13,0
119,353,6,0
120,355,15,0
121,343,39,0
122,354,23,0
123,368,8,0
124,367,15,0
125,348,17,0
126,370,11,0
127,350,39,0
128,350,31,0
129,358,4,0
130,361,29,0
131,358,8,0
132,350,9,0
133,353,4,0
134,354,29,0
135,348,9,0
136,342,8,0
137,359,33,0
138,352,15,0
139,356,26,0
140,368,19,0
141,361,36,0
142,353,20,0
143,352,5,0
144,351,4,0
