vertex id,originalDegree,color,orderColored
0,414,0,0
1,412,1,0
2,419,2,0
3,414,3,0
4,411,4,0
5,417,5,0
6,415,6,0
7,419,7,0
8,412,8,0
9,414,9,0
10,413,10,0
11,411,11,0
12,410,12,0
13,412,13,0
14,416,14,0
15,417,15,0
16,419,16,0
17,414,17,0
18,419,18,0
19,414,19,0
20,410,20,0
21,415,21,0
22,415,22,0
23,412,23,0
24,412,24,0
25,413,25,0
26,411,26,0
27,414,27,0
28,410,28,0
29,411,29,0
30,414,30,0
31,412,31,0
32,418,32,0
33,417,33,0
34,418,34,0
35,413,35,0
36,414,36,0
37,410,37,0
38,410,38,0
39,416,39,0
40,417,40,0
41,414,41,0
42,412,42,0
43,413,43,0
44,414,44,0
45,413,45,0
46,416,46,0
47,416,47,0
48,415,48,0
49,412,49,0
50,413,50,0
51,417,51,0
52,416,52,0
53,412,53,0
54,412,54,0
55,412,55,0
56,411,56,0
57,413,57,0
58,410,58,0
59,414,59,0
60,414,60,0
61,415,61,0
62,413,62,0
63,415,63,0
64,410,64,0
65,408,65,0
66,413,66,0
67,414,67,0
68,411,68,0
69,411,69,0
70,414,70,0
71,413,71,0
72,416,72,0
73,411,73,0
74,414,74,0
75,416,75,0
76,415,76,0
77,411,77,0
78,412,78,0
79,414,79,0
80,413,80,0
81,413,81,0
82,415,82,0
83,417,83,0
84,412,84,0
85,411,85,0
86,411,86,0
87,411,87,0
88,411,88,0
89,412,89,0
90,420,90,0
91,413,91,0
92,409,92,0
93,410,93,0
94,417,94,0
95,413,95,0
96,413,96,0
97,419,97,0
98,416,98,0
99,415,99,0
100,410,100,0
101,409,101,0
102,409,102,0
103,411,103,0
104,411,104,0
105,417,105,0
106,412,106,0
107,411,107,0
108,412,108,0
109,411,109,0
110,411,110,0
111,411,111,0
112,413,112,0
113,413,113,0
114,412,114,0
115,409,115,0
116,414,116,0
117,415,117,0
118,411,118,0
119,412,119,0
120,415,120,0
121,413,121,0
122,415,122,0
123,411,123,0
124,412,124,0
125,411,125,0
126,414,126,0
127,414,127,0
128,418,128,0
129,412,129,0
130,412,130,0
131,412,131,0
132,412,132,0
133,413,133,0
134,412,134,0
135,412,135,0
136,414,136,0
137,411,137,0
138,411,138,0
139,412,139,0
140,413,140,0
141,412,141,0
142,409,142,0
143,411,143,0
144,414,144,0
145,411,145,0
146,414,146,0
147,412,147,0
148,411,148,0
149,407,149,0
150,407,150,0
151,411,151,0
152,414,152,0
153,410,153,0
154,406,154,0
155,408,155,0
156,407,156,0
157,407,157,0
158,410,158,0
159,412,159,0
160,412,160,0
161,409,161,0
162,407,162,0
163,410,163,0
164,414,164,0
165,410,165,0
166,407,166,0
167,409,167,0
168,410,168,0
169,410,169,0
170,412,170,0
171,413,171,0
172,409,172,0
173,403,173,0
174,406,174,0
175,409,175,0
176,408,176,0
177,407,177,0
178,407,178,0
179,404,179,0
180,404,180,0
181,409,181,0
182,411,182,0
183,412,183,0
184,409,184,0
185,409,185,0
186,408,186,0
187,408,187,0
188,406,188,0
189,410,189,0
190,410,190,0
191,408,191,0
192,412,192,0
193,413,193,0
194,413,194,0
195,412,195,0
196,410,196,0
197,404,197,0
198,404,198,0
199,410,199,0
200,408,200,0
