vertex id,originalDegree,color,orderColored
0,157,106,51
1,157,134,23
2,157,61,96
3,157,46,111
4,157,73,84
5,157,78,79
6,157,130,27
7,157,102,55
8,157,99,58
9,157,97,60
10,157,145,12
11,157,129,28
12,157,121,36
13,157,119,38
14,157,5,152
15,157,137,20
16,157,68,89
17,157,47,110
18,157,128,29
19,157,76,81
20,157,4,153
21,157,82,75
22,157,29,128
23,157,84,73
24,157,150,7
25,157,20,137
26,157,110,47
27,157,142,15
28,157,113,44
29,157,8,149
30,157,9,148
31,157,52,105
32,157,120,37
33,157,81,76
34,157,100,57
35,157,141,16
36,157,124,33
37,157,6,151
38,157,12,145
39,157,91,66
40,157,53,104
41,157,57,100
42,157,59,98
43,157,93,64
44,157,122,35
45,157,105,52
46,157,17,140
47,157,144,13
48,157,138,19
49,157,71,86
50,157,34,123
51,157,48,109
52,157,107,50
53,157,40,117
54,157,26,131
55,157,126,31
56,157,86,71
57,157,24,133
58,157,79,78
59,157,64,93
60,157,60,97
61,157,44,113
62,157,152,5
63,157,2,155
64,157,35,122
65,157,151,6
66,157,90,67
67,157,88,69
68,157,49,108
69,157,0,157
70,157,116,41
71,157,92,65
72,157,38,119
73,157,80,77
74,157,95,62
75,157,36,121
76,157,41,116
77,157,149,8
78,157,7,150
79,157,118,39
80,157,140,17
81,157,132,25
82,157,54,103
83,157,25,132
84,157,131,26
85,157,55,102
86,157,143,14
87,157,14,143
88,157,21,136
89,157,67,90
90,157,43,114
91,157,16,141
92,157,50,107
93,157,3,154
94,157,31,126
95,157,56,101
96,157,15,142
97,157,154,3
98,157,58,99
99,157,51,106
100,157,139,18
101,157,77,80
102,157,27,130
103,157,123,34
104,157,30,127
105,157,109,48
106,157,33,124
107,157,42,115
108,157,114,43
109,157,157,0
110,157,127,30
111,157,63,94
112,157,112,45
113,157,147,10
114,157,135,22
115,157,83,74
116,157,117,40
117,157,19,138
118,157,18,139
119,157,125,32
120,157,155,2
121,157,111,46
122,157,65,92
123,157,69,88
124,157,94,63
125,157,101,56
126,157,104,53
127,157,133,24
128,157,96,61
129,157,136,21
130,157,153,4
131,157,66,91
132,157,72,85
133,157,10,147
134,157,98,59
135,157,32,125
136,157,85,72
137,157,103,54
138,157,22,135
139,157,146,11
140,157,75,82
141,157,62,95
142,157,13,144
143,157,39,118
144,157,1,156
145,157,70,87
146,157,45,112
147,157,74,83
148,157,37,120
149,157,23,134
150,157,108,49
151,157,115,42
152,157,11,146
153,157,28,129
154,157,156,1
155,157,89,68
156,157,148,9
157,157,87,70

