vertex id,originalDegree,color,orderColored
0,2,2,0
1,2,1,43
2,2,0,50
3,2,2,1
4,2,0,30
5,2,2,4
6,2,1,11
7,2,1,29
8,2,0,39
9,2,1,22
10,2,2,12
11,2,0,48
12,2,1,24
13,2,2,14
14,2,0,41
15,2,1,17
16,2,2,7
17,2,0,46
18,2,1,44
19,2,2,8
20,2,0,53
21,2,2,15
22,2,0,47
23,2,1,34
24,2,2,25
25,2,0,51
26,2,2,40
27,2,1,21
28,2,2,6
29,2,1,13
30,2,0,33
31,2,2,10
32,2,1,26
33,2,0,37
34,2,1,5
35,2,2,3
36,2,1,16
37,2,1,42
38,2,0,49
39,2,2,9
40,2,0,23
41,2,2,18
42,2,1,45
43,2,0,54
44,2,2,38
45,2,1,28
46,2,2,27
47,2,0,52
48,2,2,31
49,2,0,56
50,2,1,32
51,2,2,19
52,2,0,35
53,2,2,2
54,2,1,36
55,2,0,55
56,2,1,20

