vertex id,originalDegree,color,orderColored
0,413,413,0
1,415,119,328
2,412,293,133
3,411,85,366
4,416,176,271
5,412,302,128
6,414,375,44
7,417,286,144
8,423,387,39
9,423,375,52
10,417,368,53
11,414,33,430
12,422,409,15
13,417,361,60
14,418,394,27
15,425,173,273
16,423,263,175
17,423,316,118
18,426,346,85
19,418,388,32
20,430,286,152
21,429,149,304
22,430,273,172
23,427,292,148
24,427,419,8
25,431,155,298
26,430,201,247
27,430,224,222
28,435,23,439
29,440,29,434
30,436,422,16
31,428,271,170
32,428,206,243
33,434,146,305
34,437,339,106
35,434,169,283
36,440,408,35
37,442,82,377
38,442,254,201
39,441,336,112
40,445,160,300
41,440,128,330
42,444,171,289
43,446,419,30
44,440,43,420
45,439,246,205
46,443,375,71
47,439,29,435
48,448,436,14
49,444,381,68
50,450,66,396
51,445,368,78
52,442,180,279
53,448,151,310
54,454,265,198
55,448,396,55
56,450,363,92
57,447,148,311
58,456,13,451
59,445,162,295
60,448,62,399
61,449,167,293
62,454,371,86
63,451,113,349
64,452,398,59
65,455,296,165
66,460,274,193
67,456,125,338
68,451,304,150
69,454,263,197
70,456,267,196
71,456,283,181
72,453,77,388
73,458,179,286
74,458,262,202
75,456,201,260
76,453,320,139
77,457,332,131
78,451,43,421
79,456,298,163
80,454,20,444
81,454,249,209
82,460,324,141
83,454,136,324
84,461,293,174
85,456,246,217
86,455,241,219
87,457,246,218
88,458,183,284
89,457,303,159
90,461,215,251
91,459,67,397
92,457,91,374
93,459,342,122
94,461,207,256
95,460,346,119
96,459,362,101
97,461,330,136
98,462,275,194
99,460,457,3
100,459,251,215
101,460,444,18
102,459,41,423
103,462,337,130
104,463,420,48
105,458,277,187
106,458,57,407
107,457,388,74
108,463,180,287
109,460,125,341
110,460,277,189
111,460,67,398
112,462,156,309
113,461,199,265
114,458,26,438
115,458,453,5
116,462,189,277
117,460,79,386
118,462,119,347
119,460,255,210
120,460,290,177
121,458,423,38
122,463,259,208
123,460,261,204
124,463,28,436
125,461,61,404
126,463,322,146
127,459,43,422
128,462,124,342
129,461,375,89
130,464,33,431
131,463,145,321
132,463,266,203
133,462,110,357
134,460,400,65
135,461,94,371
136,463,189,278
137,463,116,351
138,462,225,245
139,461,319,147
140,460,146,319
141,462,286,183
142,461,97,367
143,459,87,378
144,461,104,364
145,463,231,240
146,462,71,395
147,460,107,359
148,461,368,97
149,464,256,214
150,464,7,457
151,460,2,462
152,462,268,200
153,463,379,87
154,461,14,450
155,463,360,108
156,463,112,356
157,464,243,228
158,462,456,6
159,464,204,262
160,463,21,443
161,461,169,296
162,462,277,192
163,463,405,62
164,463,339,129
165,462,437,28
166,464,200,268
167,463,349,121
168,463,332,135
169,462,421,46
170,463,440,26
171,463,270,199
172,463,41,424
173,462,402,64
174,463,210,255
175,464,4,460
176,464,86,381
177,464,372,96
178,463,106,362
179,462,347,120
180,463,315,151
181,463,87,379
182,463,32,432
183,463,211,254
184,463,229,242
185,463,191,276
186,462,23,441
187,464,359,110
188,461,311,155
189,463,223,248
190,464,84,383
191,463,376,91
192,463,236,236
193,463,237,235
194,464,398,70
195,464,226,246
196,463,452,11
197,464,155,312
198,463,75,391
199,464,136,331
200,463,239,233
201,463,186,281
202,463,361,107
203,463,57,408
204,463,124,343
205,463,446,19
206,461,427,37
207,463,82,384
208,464,49,417
209,462,356,111
210,464,0,464
211,462,1,463
212,462,352,116
213,464,180,288
214,463,48,418
215,463,160,306
216,464,11,453
217,464,385,81
218,462,327,140
219,463,296,173
220,462,413,54
221,463,9,455
222,463,301,167
223,462,216,252
224,462,418,49
225,463,123,344
226,462,55,409
227,464,19,446
228,463,97,369
229,462,184,282
230,464,438,29
231,463,354,115
232,462,255,212
233,463,344,124
234,463,151,315
235,464,299,171
236,462,148,317
237,463,115,352
238,463,281,188
239,463,12,452
240,463,116,350
241,463,201,264
242,461,3,461
243,464,222,249
244,463,395,72
245,463,365,102
246,464,15,449
247,464,209,257
248,462,149,316
249,464,234,238
250,463,363,105
