vertex id,originalDegree,color,orderColored
0,361,44,109
1,358,89,320
2,355,89,269
3,341,31,99
4,344,124,395
5,363,91,272
6,364,130,408
7,344,72,225
8,336,17,233
9,370,49,123
10,358,108,323
11,364,130,397
12,351,88,403
13,347,95,283
14,353,21,45
15,367,84,259
16,363,125,387
17,350,1,76
18,349,110,330
19,357,101,304
20,347,61,179
21,346,111,332
22,341,24,50
23,358,87,263
24,362,94,281
25,359,38,136
26,363,20,41
27,353,113,344
28,372,128,394
29,358,37,80
30,356,76,267
31,362,23,49
32,351,48,133
33,350,22,47
34,349,40,127
35,349,122,378
36,356,42,107
37,360,35,77
38,363,109,324
39,357,14,215
40,366,74,218
41,349,5,5
42,355,36,96
43,345,102,307
44,343,81,262
45,360,63,168
46,355,118,359
47,359,106,331
48,350,45,137
49,350,29,174
50,346,64,170
51,361,50,124
52,343,70,195
53,341,82,252
54,345,103,308
55,349,114,369
56,408,116,351
57,361,11,19
58,365,116,354
59,353,32,87
60,365,46,131
61,360,65,175
62,369,93,280
63,361,98,336
64,354,54,220
65,355,77,264
66,350,129,396
67,353,25,165
68,345,52,185
69,356,53,141
70,354,99,343
71,356,105,313
72,357,132,401
73,358,124,384
74,368,55,158
75,361,62,161
76,362,13,31
77,366,3,6
78,351,28,69
79,358,15,32
80,357,41,103
81,360,75,226
82,354,71,286
83,357,39,101
84,358,2,1
85,349,4,4
86,350,131,400
87,350,7,17
88,347,9,75
89,368,86,261
90,356,94,284
91,366,34,74
92,347,66,181
93,358,134,410
94,357,57,149
95,348,61,160
96,350,127,389
97,352,56,148
98,359,123,380
99,349,16,39
100,355,79,239
101,361,54,171
102,366,119,360
103,356,19,36
104,353,104,328
105,370,29,59
106,354,47,120
107,353,49,139
108,355,10,18
109,346,90,270
110,347,90,278
111,355,33,84
112,356,55,147
113,363,52,135
114,350,33,71
115,350,100,314
116,347,99,302
117,354,97,294
118,363,12,35
119,351,117,356
120,351,51,129
121,342,51,138
122,351,67,182
123,367,78,234
124,365,25,53
125,347,59,155
126,369,32,257
127,348,85,260
128,347,104,357
129,351,56,196
130,358,69,204
131,354,63,176
132,348,94,379
133,349,68,183
134,352,120,377
135,346,15,23
136,342,120,362
137,359,101,309
138,352,35,98
139,354,64,190
140,361,121,368
141,358,7,30
142,352,43,125
143,350,26,55
144,349,104,311
145,342,107,376
146,346,107,317
147,353,82,340
148,344,22,68
149,345,14,22
150,341,17,46
151,351,56,163
152,359,79,374
153,360,122,406
154,349,103,334
155,351,60,159
156,354,66,216
157,348,105,385
158,348,122,405
159,346,17,28
160,345,69,193
161,349,121,392
162,363,50,194
163,360,80,247
164,361,46,134
165,343,77,228
166,342,119,383
167,340,88,266
168,346,31,78
169,349,27,57
170,339,69,254
171,344,12,20
172,343,8,9
173,345,76,253
174,353,106,315
175,346,18,29
176,343,18,34
177,340,81,289
178,334,126,393
179,342,30,61
180,338,73,229
181,364,72,206
182,353,87,373
183,350,112,409
184,343,96,300
185,335,83,256
186,333,115,363
187,347,115,350
188,351,57,172
189,340,112,338
190,346,9,33
191,345,80,240
192,342,81,244
193,346,92,291
194,353,100,303
195,350,126,388
196,340,17,38
197,352,85,339
198,344,73,212
199,343,108,398
200,350,71,198
201,350,3,2
202,337,98,299
203,335,14,105
204,337,133,407
205,348,34,90
206,346,44,110
207,340,60,180
208,337,120,402
209,358,57,274
210,350,102,355
211,338,36,79
212,333,23,83
213,344,13,21
214,335,86,275
215,335,70,211
216,343,30,92
217,345,16,25
218,350,1,0
219,353,76,221
220,351,38,100
221,344,92,316
222,334,88,285
223,340,26,126
224,332,40,102
225,337,83,268
226,342,64,325
227,351,31,63
228,349,110,366
229,335,52,152
230,334,93,329
231,337,39,104
232,354,43,108
233,347,79,258
234,340,74,224
235,342,92,273
236,339,75,219
237,353,27,67
238,344,59,236
239,347,6,7
240,349,114,346
241,348,97,326
242,350,58,169
243,344,41,295
244,354,8,27
245,346,48,130
246,356,67,201
247,357,115,364
248,341,58,153
249,337,28,58
250,340,61,372
251,335,4,42
252,343,45,111
253,339,91,271
254,330,22,227
255,327,37,246
256,327,60,265
257,312,4,15
258,323,78,231
259,297,14,352
260,322,36,113
261,315,22,207
262,317,24,56
263,317,32,70
264,303,26,85
265,334,89,353
266,325,21,51
267,307,66,341
268,319,11,44
269,316,5,12
270,321,1,40
271,312,87,282
272,307,2,94
273,304,23,399
274,312,126,413
275,319,54,144
276,308,70,381
277,314,114,412
278,318,18,65
279,312,8,347
280,307,77,251
281,307,61,238
282,314,99,337
283,305,6,370
284,326,65,173
285,315,59,205
286,302,53,208
287,299,75,242
288,308,30,86
289,316,42,132
290,304,70,250
291,316,16,371
292,326,20,54
293,311,25,81
294,295,59,301
295,312,96,290
296,298,3,37
297,317,6,222
298,315,30,156
299,318,50,335
300,316,80,327
301,311,53,142
302,315,83,297
303,314,29,93
304,314,19,43
305,323,39,178
306,314,73,318
307,306,4,116
308,304,14,48
309,313,71,214
310,315,0,414
311,314,30,255
312,305,62,230
313,314,36,288
314,312,37,209
315,319,63,210
316,297,24,249
317,298,45,243
318,329,54,296
319,296,5,16
320,302,8,14
321,299,15,177
322,312,16,199
323,303,23,118
324,315,37,128
325,295,109,375
326,313,44,150
327,313,15,189
328,307,28,386
329,305,53,237
330,295,23,145
331,306,45,321
332,305,68,245
333,319,64,319
334,312,24,310
335,300,16,106
336,308,31,91
337,305,76,404
338,303,9,10
339,317,55,167
340,309,57,349
341,302,78,391
342,303,67,213
343,299,28,203
344,308,20,143
345,305,20,89
346,294,22,112
347,295,63,223
348,316,12,82
349,302,24,72
350,294,9,26
351,293,66,241
352,304,55,322
353,305,71,358
354,296,39,390
355,311,50,166
356,297,1,11
