vertex id,originalDegree,color,orderColored
0,387,387,0
1,382,358,28
2,384,89,314
3,383,236,160
4,388,208,200
5,388,72,329
6,385,34,365
7,386,276,122
8,386,7,392
9,386,192,214
10,387,371,20
11,389,341,52
12,384,339,49
13,385,330,59
14,385,139,264
15,385,341,48
16,387,268,133
17,381,31,368
18,386,364,26
19,384,373,12
20,384,51,353
21,384,222,181
22,383,374,10
23,383,124,278
24,383,75,325
25,388,31,371
26,387,347,43
27,384,115,290
28,385,251,150
29,383,237,163
30,389,122,286
31,386,135,269
32,387,68,334
33,388,124,282
34,386,335,57
35,387,138,267
36,389,67,333
37,386,384,2
38,384,341,47
39,381,286,104
40,384,248,153
41,382,159,242
42,385,147,257
43,384,32,369
44,385,156,250
45,386,172,234
46,385,190,212
47,384,353,35
48,382,323,63
49,382,220,179
50,384,381,4
51,383,301,90
52,384,133,271
53,382,63,336
54,380,315,70
55,384,136,268
56,382,52,346
57,383,174,226
58,385,216,185
59,384,119,283
60,385,226,177
61,389,247,158
62,390,77,328
63,390,325,71
64,384,238,164
65,384,199,201
66,383,214,191
67,382,296,92
68,382,38,362
69,383,310,77
70,386,292,101
71,381,97,304
72,380,218,176
73,383,76,321
74,382,298,91
75,384,216,184
76,384,212,193
77,387,338,53
78,383,272,124
79,386,326,65
80,383,270,127
81,387,144,262
82,385,37,363
83,385,137,265
84,384,103,299
85,383,255,144
86,383,116,284
87,382,9,390
88,383,164,237
89,382,248,151
90,378,82,316
91,380,226,169
92,380,32,366
93,385,303,89
94,380,124,272
95,382,5,394
96,380,249,145
97,384,361,27
98,376,343,37
99,381,86,313
100,381,276,119
101,380,308,79
102,389,189,221
103,380,361,23
104,383,70,331
105,385,11,389
106,383,33,367
107,377,320,61
108,378,235,156
109,382,209,192
110,381,206,196
111,382,232,167
112,385,162,241
113,387,263,139
114,385,232,171
115,385,17,384
116,386,16,385
117,382,111,288
118,383,50,351
119,383,214,188
120,384,30,370
121,380,184,220
122,380,186,216
123,383,333,55
124,381,84,317
125,382,322,64
126,377,245,147
127,383,48,354
128,378,346,36
129,381,244,154
130,385,203,202
131,385,158,243
132,382,161,240
133,380,99,301
134,382,150,252
135,383,128,270
136,382,3,396
137,379,168,232
138,382,112,285
139,381,276,116
140,383,171,231
141,381,196,205
142,384,42,359
143,385,47,355
144,380,27,372
145,378,336,46
146,377,339,42
147,376,215,175
148,379,50,348
149,379,61,338
150,377,373,5
151,381,299,87
152,383,172,230
153,378,99,300
154,380,370,11
155,378,200,198
156,374,76,319
157,380,358,24
158,377,24,376
159,378,266,125
160,374,214,180
161,374,346,32
162,380,340,44
163,380,144,256
164,380,358,25
165,378,203,195
166,382,368,17
167,379,93,309
168,381,6,393
169,379,12,387
170,381,172,229
171,378,40,360
172,377,311,72
173,381,380,1
174,385,1,398
175,378,268,126
176,376,74,324
177,378,372,7
178,374,76,318
179,375,254,135
180,376,133,263
181,379,258,138
182,379,361,22
183,377,184,213
184,377,41,358
185,381,106,293
186,379,138,259
187,383,93,312
188,382,56,342
189,378,122,275
190,376,72,326
191,382,68,332
192,377,143,255
193,375,300,80
194,376,234,159
195,378,95,302
196,381,192,209
197,378,2,397
198,375,257,130
199,377,25,374
200,378,362,19
201,375,180,217
202,372,35,364
203,376,275,112
204,370,171,225
205,378,188,211
206,376,323,58
207,375,193,203
208,378,282,107
209,373,152,245
210,370,292,84
211,376,304,78
212,376,313,68
213,374,124,274
214,379,151,253
215,374,120,273
216,372,203,190
217,376,97,305
218,374,18,382
219,373,311,67
220,370,143,251
221,375,338,40
222,374,27,373
223,372,237,149
224,372,330,45
225,378,118,280
226,373,133,261
227,370,323,51
228,368,273,100
229,372,266,120
230,374,75,322
231,376,160,235
232,376,349,31
233,375,229,165
234,379,349,33
235,377,69,330
236,377,12,388
237,375,161,236
238,371,37,361
239,369,211,182
240,369,151,244
241,372,279,99
242,374,196,199
243,374,171,228
244,367,296,76
245,371,284,94
246,368,16,383
247,370,21,379
248,372,268,115
249,373,171,227
250,375,197,197
251,370,241,148
252,368,148,249
253,373,138,258
254,379,8,391
255,379,104,296
256,371,91,307
257,370,274,108
258,374,103,294
259,372,266,121
260,373,64,335
261,370,247,140
262,368,251,136
263,371,281,98
264,368,341,30
265,371,53,345
266,369,50,344
267,371,316,60
268,364,18,381
269,367,332,38
270,370,172,223
271,371,56,339
272,364,355,9
273,365,87,308
274,367,291,82
275,364,83,310
276,369,162,233
277,372,0,399
278,376,262,128
279,366,104,291
280,362,225,152
281,369,79,320
282,368,14,386
283,368,283,96
284,368,296,81
285,365,133,260
286,363,351,14
287,359,327,34
288,364,345,21
289,367,304,69
290,370,58,341
291,366,286,86
292,364,146,248
293,365,183,208
294,363,89,306
295,364,98,295
296,361,141,254
297,364,264,114
298,360,274,97
299,363,217,166
300,362,238,141
301,363,104,289
302,359,166,224
303,359,49,349
304,365,247,142
305,361,182,204
306,362,357,6
307,355,299,66
308,359,4,395
309,361,80,315
310,361,324,41
311,360,325,39
312,365,358,8
313,360,90,303
314,357,104,287
315,355,222,157
316,351,109,279
317,355,257,113
318,358,224,155
319,357,44,357
320,351,339,15
321,358,47,352
322,357,169,222
323,351,264,111
324,356,279,83
325,351,204,173
326,352,56,340
327,344,214,161
328,352,287,75
329,348,146,239
330,352,251,117
331,346,264,93
332,347,323,29
333,343,203,168
334,349,20,380
335,347,236,132
336,344,301,50
337,345,293,56
338,346,238,131
339,335,21,378
340,336,186,194
341,347,98,298
342,334,109,277
343,335,248,106
344,337,51,337
345,328,242,109
346,339,200,172
347,324,179,183
348,321,133,238
349,321,23,375
350,325,161,206
351,314,253,74
352,314,151,219
353,306,290,18
354,321,279,54
355,309,44,347
356,313,17,377
357,304,301,3
358,306,176,174
359,301,222,110
360,292,162,187
361,294,116,247
362,287,218,95
363,286,122,246
364,282,209,102
365,280,65,311
366,280,43,343
367,271,87,281
368,266,38,350
369,266,170,143
370,262,75,297
371,266,204,88
372,260,252,13
373,266,83,276
374,250,141,178
375,245,111,215
376,239,196,73
377,240,173,105
378,222,152,146
379,213,154,123
380,197,54,292
381,196,65,266
382,186,88,207
383,177,106,170
384,141,71,210
385,139,86,162
386,128,82,129
387,114,85,85
388,89,87,16
389,79,39,186
390,64,14,323
391,60,8,356
392,42,23,189
393,30,22,118
394,20,10,218
395,13,9,134
396,11,2,327
397,7,6,103
398,5,3,137
399,241,207,62

