NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
3,0,0,0,0,0,0
4,8.125e-06,5.333e-06,1.3e-05,5.75e-06,1.1292e-05,0.000454667
5,1.0792e-05,8.583e-06,9.042e-06,5.625e-06,9e-06,0.000252041
6,1.5584e-05,9.125e-06,1.3375e-05,8e-06,1.5792e-05,8.333e-06
7,2.1333e-05,1.2042e-05,2.5584e-05,1.1458e-05,2.2e-05,1.0458e-05
8,2.5542e-05,1.4292e-05,2.5e-05,1.3625e-05,2.5792e-05,1.2667e-05
9,3.6291e-05,1.5208e-05,3.8583e-05,1.75e-05,3.35e-05,1.8708e-05
10,3.9833e-05,2.1917e-05,3.925e-05,1.9458e-05,3.775e-05,2.3542e-05
11,4.8042e-05,2.625e-05,4.7375e-05,2.35e-05,4.6125e-05,2.85e-05
12,5.5208e-05,3.3583e-05,5.45e-05,3.45e-05,5.5083e-05,3.1208e-05
13,6.1833e-05,3.7334e-05,6.2042e-05,3.3541e-05,6.3333e-05,3.5125e-05
14,7.4834e-05,4.4417e-05,7.5042e-05,4.2042e-05,6.975e-05,4.0791e-05
15,8.3417e-05,4.9084e-05,8.6333e-05,4.4417e-05,7.6125e-05,4.7584e-05
16,9.225e-05,5.7625e-05,9.3083e-05,4.6875e-05,8.2459e-05,5.1208e-05
17,0.000105417,6.0959e-05,0.000105875,5.2791e-05,9.3583e-05,5.5084e-05
18,0.000118417,7.5084e-05,0.000119875,6.8042e-05,0.000113416,5.9416e-05
19,0.000129083,9.3375e-05,0.000130916,7.7667e-05,0.000124125,6.9583e-05
20,0.000144167,8.7584e-05,0.00014075,8.0541e-05,0.00013425,7.7458e-05
21,0.000164875,0.000100083,0.000162125,9.0375e-05,0.000158,8.5041e-05
22,0.000176791,0.000113291,0.000174417,0.000104708,0.000162917,8.9833e-05
23,0.00018525,0.000121,0.000196792,0.000107916,0.000174667,9.8958e-05
24,0.000212375,0.000135417,0.000215917,0.000121459,0.000197167,0.000110166
25,0.000248042,0.000141875,0.000232834,0.000148292,0.000210875,0.000121042
26,0.000244417,0.000154042,0.000246625,0.000149583,0.000236667,0.000130417
27,0.000265834,0.000173709,0.000272583,0.000172375,0.0002575,0.000136791
28,0.000309792,0.00018225,0.000295084,0.000171958,0.000274791,0.000154166
29,0.000350875,0.000184208,0.00031825,0.0001855,0.000307125,0.000168667
30,0.000353458,0.000201958,0.000361583,0.000204416,0.000328792,0.000182875
31,0.00038925,0.000224417,0.000376958,0.000231292,0.000359333,0.000191208
32,0.000392,0.000241792,0.000397208,0.000241375,0.000375,0.000199292
33,0.0004665,0.000265916,0.000432833,0.0002525,0.000409083,0.000226834
34,0.000507667,0.00028825,0.000462333,0.0002825,0.000446459,0.000249291
35,0.000545375,0.000309875,0.000484708,0.000293083,0.000480583,0.000272125
36,0.00058375,0.000323167,0.000517917,0.000301583,0.000508667,0.000284333
37,0.000602209,0.000355333,0.000543208,0.000338,0.000557583,0.000305167
38,0.000648166,0.00037225,0.000579583,0.000352083,0.000586583,0.000323666
39,0.000685416,0.000393083,0.000612625,0.00036675,0.000625584,0.000338417
40,0.00071275,0.000401792,0.000635042,0.00037075,0.000649667,0.000366084
41,0.000747208,0.000412459,0.000674042,0.000392791,0.000695334,0.000392292
42,0.000808875,0.000451167,0.000708208,0.000433667,0.00074925,0.000408875
43,0.000841,0.00047225,0.0007405,0.000455791,0.000764291,0.000427708
44,0.000861875,0.000495458,0.000788417,0.00045925,0.000805625,0.000451209
45,0.000922625,0.000522709,0.00081075,0.00048525,0.000841292,0.00046575
46,0.000993375,0.000553875,0.0008455,0.000519542,0.000895959,0.000501292
47,0.00103183,0.000571125,0.000888917,0.000541917,0.000941125,0.000528
48,0.00107254,0.000598292,0.000939084,0.00057375,0.000997584,0.000557125
49,0.00113179,0.000636833,0.000991209,0.000594,0.00103904,0.000587917
50,0.00120471,0.000654208,0.00111017,0.000648916,0.00108913,0.000619209
51,0.00125592,0.000693791,0.00115829,0.000654334,0.00115396,0.000636167
52,0.00133725,0.000715084,0.0012205,0.000691833,0.00124954,0.000688917
53,0.00142733,0.000751625,0.00128225,0.000733625,0.00129746,0.000726125
54,0.00148508,0.000790541,0.00129992,0.00077475,0.00135312,0.000765208
55,0.00149946,0.000821916,0.00134175,0.000790292,0.00138312,0.00082725
56,0.00155775,0.000893708,0.00138008,0.000797084,0.00144146,0.000848125
57,0.00167471,0.000973084,0.00145475,0.000867833,0.00151046,0.000934375
58,0.00182046,0.00100721,0.00152621,0.000920917,0.00164942,0.000975708
59,0.00190304,0.00104825,0.00157146,0.000977834,0.00170704,0.000991084
60,0.00192012,0.00107612,0.00161271,0.00101612,0.00175925,0.00103129
61,0.00204429,0.00111742,0.00169858,0.00108725,0.00186592,0.00107067
62,0.00218775,0.00113917,0.00177988,0.00111592,0.00193721,0.00111963
63,0.00220825,0.00119367,0.00184454,0.00115867,0.002013,0.00141638
64,0.00236746,0.00121058,0.001899,0.001204,0.00207012,0.00137425
65,0.00239071,0.00125613,0.00194896,0.00121358,0.00221954,0.00139721
66,0.00268175,0.001385,0.00210642,0.00136071,0.002483,0.00155367
67,0.00295646,0.00146921,0.00223254,0.00147508,0.00260804,0.00154292
68,0.00294246,0.00157125,0.00234546,0.00157292,0.00278079,0.00163346
69,0.00314408,0.00163558,0.002447,0.00167162,0.00282979,0.001636
70,0.00320979,0.0016875,0.00255396,0.00190571,0.00291367,0.00167575
71,0.00340371,0.00175296,0.00258271,0.0018425,0.00303213,0.00172842
72,0.00351558,0.00182983,0.00274467,0.00188608,0.00322154,0.00173617
73,0.00356342,0.00190212,0.00275679,0.00192971,0.00328692,0.00181004
74,0.00381504,0.00205662,0.00282546,0.00196337,0.00349337,0.00188554
75,0.00388275,0.00211367,0.00297504,0.00199746,0.00378187,0.00194975
76,0.00407179,0.00226408,0.002986,0.00204017,0.00369908,0.00202292
77,0.00419425,0.00231842,0.00313329,0.00211075,0.00379362,0.00208388
78,0.00457996,0.00229708,0.00317954,0.00216212,0.00392496,0.00215042
79,0.00432879,0.00234771,0.003385,0.00222396,0.00402933,0.00220975
80,0.0044775,0.00252612,0.00367437,0.00230175,0.00428696,0.002283
81,0.00472871,0.00263171,0.00370067,0.00234679,0.00423275,0.002358
82,0.0049665,0.00257583,0.00366229,0.00239525,0.00432717,0.00238629
83,0.00485846,0.00273292,0.00450658,0.00248933,0.00447054,0.00259833
84,0.00506625,0.00274975,0.00433512,0.00267833,0.00464196,0.00255592
85,0.00523187,0.002743,0.00416392,0.00271654,0.00481462,0.00265392
86,0.005501,0.00294683,0.00414108,0.00292292,0.00498917,0.00272908
87,0.00590125,0.00302346,0.00421267,0.00296462,0.0051595,0.002829
88,0.00573292,0.00307575,0.00424863,0.00295958,0.00550554,0.00292583
89,0.00595812,0.00312,0.00431017,0.00317933,0.00557062,0.00307037
90,0.0081995,0.00315983,0.00456512,0.00320096,0.00588558,0.00310288
91,0.00649313,0.00328242,0.00483117,0.00323487,0.00585042,0.00314783
92,0.00649746,0.0032975,0.00479871,0.00333638,0.00598958,0.00325071
93,0.00681417,0.00344817,0.00478254,0.00351508,0.00611233,0.00346208
94,0.00687958,0.00352937,0.00500542,0.00363442,0.00633404,0.00353125
95,0.00699133,0.00369962,0.00502775,0.00357996,0.00640833,0.00353792
96,0.00722371,0.00365442,0.00511579,0.00369733,0.00665438,0.00377846
